SNo,Name,Symbol,Date,High,Low,Open,Close,Volume,Marketcap
1,Aave,AAVE,"Apr 21, 2023",$73.24,$68.55,$72.41,$69.11,"$55,231,048","$992,796,463"
2,Aave,AAVE,"Apr 20, 2023",$74.96,$71.89,$74.03,$72.41,"$57,649,972","$1,020,473,496"
3,Aave,AAVE,"Apr 19, 2023",$82.00,$73.31,$81.88,$74.03,"$90,000,854","$1,043,359,268"
4,Aave,AAVE,"Apr 18, 2023",$83.85,$79.96,$81.03,$81.88,"$66,572,964","$1,154,016,482"
5,Aave,AAVE,"Apr 17, 2023",$84.04,$80.54,$83.36,$81.02,"$71,136,630","$1,141,886,640"
6,Aave,AAVE,"Apr 16, 2023",$83.59,$81.31,$82.67,$83.36,"$59,715,173","$1,174,869,296"
7,Aave,AAVE,"Apr 15, 2023",$83.85,$81.29,$82.65,$82.69,"$60,016,678","$1,165,362,143"
8,Aave,AAVE,"Apr 14, 2023",$83.75,$80.40,$81.19,$82.65,"$84,217,603","$1,164,845,959"
9,Aave,AAVE,"Apr 13, 2023",$81.61,$77.15,$78.95,$81.19,"$84,267,709","$1,144,231,610"
10,Aave,AAVE,"Apr 12, 2023",$79.52,$75.84,$79.13,$78.94,"$61,814,408","$1,112,560,539"
11,Aave,AAVE,"Apr 11, 2023",$80.30,$78.19,$78.40,$79.13,"$57,450,615","$1,115,178,268"
12,Aave,AAVE,"Apr 10, 2023",$78.49,$75.24,$76.34,$78.40,"$46,450,318","$1,104,934,151"
13,Aave,AAVE,"Apr 09, 2023",$77.39,$74.95,$76.35,$76.34,"$41,062,379","$1,075,841,259"
14,Aave,AAVE,"Apr 08, 2023",$78.84,$76.16,$78.36,$76.34,"$38,961,869","$1,075,863,741"
15,Aave,AAVE,"Apr 07, 2023",$80.82,$77.68,$80.45,$78.36,"$57,915,493","$1,104,398,595"
16,Aave,AAVE,"Apr 06, 2023",$80.89,$77.61,$78.30,$80.45,"$78,873,787","$1,133,755,324"
17,Aave,AAVE,"Apr 05, 2023",$79.20,$76.09,$76.40,$78.31,"$60,760,869","$1,103,626,608"
18,Aave,AAVE,"Apr 04, 2023",$76.82,$73.10,$73.70,$76.40,"$55,204,843","$1,076,728,713"
19,Aave,AAVE,"Apr 03, 2023",$74.83,$71.12,$73.06,$73.71,"$63,630,103","$1,038,746,328"
20,Aave,AAVE,"Apr 02, 2023",$74.66,$71.96,$74.19,$73.06,"$40,895,808","$1,029,624,263"
21,Aave,AAVE,"Apr 01, 2023",$74.72,$73.58,$74.19,$74.19,"$42,547,161","$1,045,587,694"
22,Aave,AAVE,"Mar 31, 2023",$74.34,$71.06,$71.32,$74.20,"$71,453,377","$1,045,707,507"
23,Aave,AAVE,"Mar 30, 2023",$74.16,$70.35,$72.84,$71.32,"$56,653,592","$1,005,068,895"
24,Aave,AAVE,"Mar 29, 2023",$73.40,$70.60,$70.67,$72.83,"$54,656,545","$1,026,469,148"
25,Aave,AAVE,"Mar 28, 2023",$71.40,$68.90,$69.76,$70.68,"$53,691,539","$996,089,186"
26,Aave,AAVE,"Mar 27, 2023",$73.57,$68.62,$72.93,$69.77,"$62,337,407","$983,287,912"
27,Aave,AAVE,"Mar 26, 2023",$73.36,$71.07,$71.38,$72.92,"$53,254,101","$1,027,745,813"
28,Aave,AAVE,"Mar 25, 2023",$73.51,$70.36,$73.09,$71.38,"$53,187,377","$1,005,937,097"
29,Aave,AAVE,"Mar 24, 2023",$77.31,$72.48,$77.26,$73.09,"$71,395,515","$1,030,015,961"
30,Aave,AAVE,"Mar 23, 2023",$80.38,$74.64,$75.31,$77.26,"$84,330,280","$1,088,883,441"
31,Aave,AAVE,"Mar 22, 2023",$79.23,$73.35,$79.06,$75.32,"$72,497,294","$1,061,434,373"
32,Aave,AAVE,"Mar 21, 2023",$79.33,$74.84,$76.17,$79.04,"$67,754,141","$1,113,928,824"
33,Aave,AAVE,"Mar 20, 2023",$80.13,$76.04,$79.60,$76.16,"$68,782,996","$1,073,359,156"
34,Aave,AAVE,"Mar 19, 2023",$81.66,$77.80,$77.80,$79.60,"$63,342,139","$1,121,827,618"
35,Aave,AAVE,"Mar 18, 2023",$81.86,$77.66,$80.66,$77.79,"$79,006,655","$1,096,353,051"
36,Aave,AAVE,"Mar 17, 2023",$80.66,$74.07,$75.06,$80.66,"$76,908,698","$1,136,688,823"
37,Aave,AAVE,"Mar 16, 2023",$75.61,$73.58,$74.04,$75.06,"$58,920,757","$1,057,872,980"
38,Aave,AAVE,"Mar 15, 2023",$80.68,$72.03,$79.34,$74.01,"$92,071,978","$1,043,069,039"
39,Aave,AAVE,"Mar 14, 2023",$81.52,$74.77,$76.14,$79.33,"$115,506,512","$1,118,073,599"
40,Aave,AAVE,"Mar 13, 2023",$77.21,$71.17,$72.98,$76.14,"$93,444,168","$1,073,111,618"
41,Aave,AAVE,"Mar 12, 2023",$72.97,$66.62,$67.38,$72.97,"$69,587,249","$1,028,394,436"
