SNo,Name,Symbol,Date,High,Low,Open,Close,Volume,Marketcap
1,Cardano,ADA,"Apr 21, 2023",$0.41,$0.38,$0.40,$0.38,"$423,456,899","$13,321,961,569"
2,Cardano,ADA,"Apr 20, 2023",$0.42,$0.40,$0.42,$0.40,"$446,305,606","$13,940,927,914"
3,Cardano,ADA,"Apr 19, 2023",$0.44,$0.41,$0.44,$0.42,"$572,007,595","$14,464,923,077"
4,Cardano,ADA,"Apr 18, 2023",$0.45,$0.43,$0.43,$0.44,"$344,714,826","$15,434,546,658"
5,Cardano,ADA,"Apr 17, 2023",$0.45,$0.43,$0.45,$0.43,"$467,653,074","$15,099,209,627"
6,Cardano,ADA,"Apr 16, 2023",$0.46,$0.44,$0.45,$0.45,"$378,398,337","$15,710,899,753"
7,Cardano,ADA,"Apr 15, 2023",$0.46,$0.43,$0.44,$0.45,"$588,188,293","$15,763,932,024"
8,Cardano,ADA,"Apr 14, 2023",$0.44,$0.43,$0.43,$0.44,"$722,237,052","$15,244,034,259"
9,Cardano,ADA,"Apr 13, 2023",$0.43,$0.40,$0.40,$0.43,"$517,280,941","$14,803,904,455"
10,Cardano,ADA,"Apr 12, 2023",$0.41,$0.39,$0.40,$0.40,"$424,316,072","$14,075,611,644"
11,Cardano,ADA,"Apr 11, 2023",$0.41,$0.40,$0.40,$0.40,"$445,334,495","$13,957,025,977"
12,Cardano,ADA,"Apr 10, 2023",$0.40,$0.39,$0.39,$0.40,"$259,765,415","$13,801,756,697"
13,Cardano,ADA,"Apr 09, 2023",$0.39,$0.39,$0.39,$0.39,"$198,718,327","$13,548,103,031"
14,Cardano,ADA,"Apr 08, 2023",$0.39,$0.38,$0.38,$0.39,"$202,832,134","$13,404,282,454"
15,Cardano,ADA,"Apr 07, 2023",$0.38,$0.38,$0.38,$0.38,"$191,601,659","$13,333,347,054"
16,Cardano,ADA,"Apr 06, 2023",$0.39,$0.38,$0.39,$0.38,"$271,945,888","$13,318,277,764"
17,Cardano,ADA,"Apr 05, 2023",$0.40,$0.39,$0.39,$0.39,"$303,259,182","$13,636,420,142"
18,Cardano,ADA,"Apr 04, 2023",$0.40,$0.39,$0.39,$0.39,"$386,367,284","$13,543,249,833"
19,Cardano,ADA,"Apr 03, 2023",$0.40,$0.37,$0.38,$0.39,"$617,334,084","$13,452,060,842"
20,Cardano,ADA,"Apr 02, 2023",$0.39,$0.38,$0.39,$0.38,"$300,032,590","$13,263,150,756"
21,Cardano,ADA,"Apr 01, 2023",$0.40,$0.39,$0.40,$0.39,"$354,925,598","$13,660,549,392"
22,Cardano,ADA,"Mar 31, 2023",$0.41,$0.38,$0.38,$0.40,"$637,648,499","$13,859,662,621"
23,Cardano,ADA,"Mar 30, 2023",$0.39,$0.37,$0.38,$0.38,"$391,063,045","$13,079,186,409"
24,Cardano,ADA,"Mar 29, 2023",$0.39,$0.37,$0.37,$0.38,"$472,185,946","$13,254,754,310"
25,Cardano,ADA,"Mar 28, 2023",$0.37,$0.34,$0.35,$0.37,"$319,572,685","$12,793,325,141"
