SNo,Name,Symbol,Date,High,Low,Open,Close,Volume,Marketcap
1,Algorand,ALGO,"Apr 21, 2023",$0.19,$0.18,$0.19,$0.19,"$81,193,217","$1,338,909,181"
2,Algorand,ALGO,"Apr 20, 2023",$0.20,$0.19,$0.20,$0.19,"$123,321,463","$1,378,477,212"
3,Algorand,ALGO,"Apr 19, 2023",$0.22,$0.20,$0.22,$0.20,"$110,900,648","$1,437,810,465"
4,Algorand,ALGO,"Apr 18, 2023",$0.23,$0.22,$0.22,$0.22,"$87,324,742","$1,605,099,399"
5,Algorand,ALGO,"Apr 17, 2023",$0.24,$0.22,$0.23,$0.22,"$108,617,950","$1,590,720,663"
6,Algorand,ALGO,"Apr 16, 2023",$0.23,$0.23,$0.23,$0.23,"$50,305,952","$1,692,817,942"
7,Algorand,ALGO,"Apr 15, 2023",$0.23,$0.22,$0.23,$0.23,"$69,224,995","$1,673,942,369"
8,Algorand,ALGO,"Apr 14, 2023",$0.23,$0.22,$0.22,$0.23,"$110,334,875","$1,640,869,400"
9,Algorand,ALGO,"Apr 13, 2023",$0.22,$0.21,$0.22,$0.22,"$70,867,248","$1,597,038,040"
10,Algorand,ALGO,"Apr 12, 2023",$0.22,$0.21,$0.22,$0.22,"$68,935,912","$1,549,345,410"
11,Algorand,ALGO,"Apr 11, 2023",$0.22,$0.22,$0.22,$0.22,"$58,513,567","$1,582,396,088"
12,Algorand,ALGO,"Apr 10, 2023",$0.22,$0.21,$0.22,$0.22,"$47,340,467","$1,588,400,717"
13,Algorand,ALGO,"Apr 09, 2023",$0.22,$0.21,$0.22,$0.22,"$34,754,910","$1,560,420,012"
14,Algorand,ALGO,"Apr 08, 2023",$0.22,$0.21,$0.22,$0.22,"$41,570,807","$1,556,453,433"
15,Algorand,ALGO,"Apr 07, 2023",$0.22,$0.21,$0.22,$0.22,"$41,784,835","$1,578,167,313"
16,Algorand,ALGO,"Apr 06, 2023",$0.22,$0.22,$0.22,$0.22,"$51,920,289","$1,567,072,808"
17,Algorand,ALGO,"Apr 05, 2023",$0.22,$0.22,$0.22,$0.22,"$62,049,037","$1,603,744,022"
18,Algorand,ALGO,"Apr 04, 2023",$0.22,$0.21,$0.21,$0.22,"$48,671,618","$1,554,702,942"
19,Algorand,ALGO,"Apr 03, 2023",$0.22,$0.21,$0.21,$0.21,"$63,103,831","$1,527,827,937"
20,Algorand,ALGO,"Apr 02, 2023",$0.22,$0.21,$0.22,$0.21,"$44,963,360","$1,529,874,840"
21,Algorand,ALGO,"Apr 01, 2023",$0.23,$0.22,$0.23,$0.22,"$47,916,103","$1,594,977,815"
22,Algorand,ALGO,"Mar 31, 2023",$0.23,$0.22,$0.22,$0.23,"$74,228,214","$1,610,715,772"
23,Algorand,ALGO,"Mar 30, 2023",$0.24,$0.22,$0.23,$0.22,"$131,918,255","$1,604,836,401"
24,Algorand,ALGO,"Mar 29, 2023",$0.24,$0.20,$0.20,$0.23,"$279,749,230","$1,668,870,701"
25,Algorand,ALGO,"Mar 28, 2023",$0.20,$0.20,$0.20,$0.20,"$50,531,386","$1,438,684,444"
26,Algorand,ALGO,"Mar 27, 2023",$0.21,$0.20,$0.21,$0.20,"$53,280,488","$1,426,224,342"
27,Algorand,ALGO,"Mar 26, 2023",$0.21,$0.21,$0.21,$0.21,"$30,772,734","$1,502,976,007"
28,Algorand,ALGO,"Mar 25, 2023",$0.21,$0.20,$0.21,$0.21,"$40,651,505","$1,472,406,232"
29,Algorand,ALGO,"Mar 24, 2023",$0.22,$0.21,$0.22,$0.21,"$63,594,104","$1,491,499,078"
30,Algorand,ALGO,"Mar 23, 2023",$0.22,$0.21,$0.21,$0.22,"$76,021,343","$1,566,146,535"
31,Algorand,ALGO,"Mar 22, 2023",$0.24,$0.21,$0.22,$0.21,"$211,957,606","$1,526,018,249"
32,Algorand,ALGO,"Mar 21, 2023",$0.23,$0.21,$0.21,$0.22,"$76,462,590","$1,600,796,811"
33,Algorand,ALGO,"Mar 20, 2023",$0.23,$0.21,$0.22,$0.21,"$79,112,674","$1,498,361,340"
34,Algorand,ALGO,"Mar 19, 2023",$0.23,$0.22,$0.22,$0.22,"$63,720,019","$1,575,609,546"
35,Algorand,ALGO,"Mar 18, 2023",$0.23,$0.22,$0.23,$0.22,"$82,270,493","$1,537,545,631"
36,Algorand,ALGO,"Mar 17, 2023",$0.23,$0.21,$0.21,$0.23,"$69,940,667","$1,619,975,677"
37,Algorand,ALGO,"Mar 16, 2023",$0.21,$0.20,$0.21,$0.21,"$51,004,142","$1,491,137,689"
38,Algorand,ALGO,"Mar 15, 2023",$0.23,$0.20,$0.22,$0.20,"$93,774,828","$1,457,928,887"
39,Algorand,ALGO,"Mar 14, 2023",$0.23,$0.21,$0.21,$0.22,"$119,645,575","$1,584,973,821"
40,Algorand,ALGO,"Mar 13, 2023",$0.22,$0.20,$0.20,$0.21,"$110,748,843","$1,515,236,047"
41,Algorand,ALGO,"Mar 12, 2023",$0.20,$0.18,$0.19,$0.20,"$71,141,684","$1,440,227,768"
42,Algorand,ALGO,"Mar 11, 2023",$0.19,$0.18,$0.19,$0.19,"$83,489,205","$1,346,515,184"
43,Algorand,ALGO,"Mar 10, 2023",$0.20,$0.19,$0.19,$0.19,"$101,190,349","$1,347,372,485"
44,Algorand,ALGO,"Mar 09, 2023",$0.21,$0.19,$0.20,$0.19,"$72,973,286","$1,377,485,498"
45,Algorand,ALGO,"Mar 08, 2023",$0.22,$0.20,$0.22,$0.20,"$61,164,379","$1,439,626,214"
46,Algorand,ALGO,"Mar 07, 2023",$0.23,$0.21,$0.23,$0.22,"$62,127,121","$1,548,616,296"
47,Algorand,ALGO,"Mar 06, 2023",$0.23,$0.22,$0.23,$0.23,"$62,268,405","$1,607,807,554"
48,Algorand,ALGO,"Mar 05, 2023",$0.23,$0.22,$0.23,$0.23,"$38,013,563","$1,617,159,176"
49,Algorand,ALGO,"Mar 04, 2023",$0.23,$0.22,$0.23,$0.23,"$33,754,152","$1,605,112,882"
50,Algorand,ALGO,"Mar 03, 2023",$0.24,$0.23,$0.24,$0.23,"$69,471,117","$1,661,718,017"
51,Algorand,ALGO,"Mar 02, 2023",$0.25,$0.24,$0.25,$0.24,"$48,090,504","$1,726,858,986"
52,Algorand,ALGO,"Mar 01, 2023",$0.25,$0.24,$0.25,$0.25,"$50,986,141","$1,788,226,840"
53,Algorand,ALGO,"Feb 28, 2023",$0.26,$0.24,$0.26,$0.24,"$50,579,740","$1,743,095,513"
54,Algorand,ALGO,"Feb 27, 2023",$0.26,$0.25,$0.26,$0.26,"$51,910,791","$1,816,063,450"
55,Algorand,ALGO,"Feb 26, 2023",$0.26,$0.25,$0.25,$0.26,"$37,908,316","$1,819,575,848"
56,Algorand,ALGO,"Feb 25, 2023",$0.26,$0.25,$0.26,$0.25,"$52,253,817","$1,788,084,592"
57,Algorand,ALGO,"Feb 24, 2023",$0.27,$0.25,$0.27,$0.26,"$79,896,942","$1,827,544,012"
58,Algorand,ALGO,"Feb 23, 2023",$0.28,$0.27,$0.27,$0.27,"$86,818,704","$1,911,992,715"
59,Algorand,ALGO,"Feb 22, 2023",$0.28,$0.26,$0.28,$0.27,"$99,013,699","$1,930,556,036"
60,Algorand,ALGO,"Feb 21, 2023",$0.29,$0.27,$0.29,$0.28,"$121,387,968","$1,976,708,179"
61,Algorand,ALGO,"Feb 20, 2023",$0.29,$0.27,$0.28,$0.29,"$136,180,970","$2,023,922,147"
62,Algorand,ALGO,"Feb 19, 2023",$0.28,$0.27,$0.27,$0.28,"$106,011,320","$1,975,744,120"
63,Algorand,ALGO,"Feb 18, 2023",$0.28,$0.27,$0.27,$0.27,"$70,508,283","$1,942,744,116"
64,Algorand,ALGO,"Feb 17, 2023",$0.28,$0.26,$0.26,$0.27,"$99,575,419","$1,928,972,349"
65,Algorand,ALGO,"Feb 16, 2023",$0.28,$0.26,$0.27,$0.26,"$145,083,641","$1,836,465,941"
66,Algorand,ALGO,"Feb 15, 2023",$0.27,$0.25,$0.25,$0.27,"$106,214,843","$1,957,078,216"
