SNo,Name,Symbol,Date,High,Low,Open,Close,Volume,Marketcap
1,Avalanche,AVAX,"Apr 21, 2023",$18.49,$16.81,$18.33,$16.95,"$312,839,997","$5,538,639,139"
2,Avalanche,AVAX,"Apr 20, 2023",$19.40,$18.30,$18.99,$18.33,"$294,882,989","$5,987,964,755"
3,Avalanche,AVAX,"Apr 19, 2023",$21.22,$18.79,$21.22,$18.99,"$375,670,294","$6,203,840,188"
4,Avalanche,AVAX,"Apr 18, 2023",$21.53,$20.38,$20.52,$21.23,"$289,785,299","$6,933,403,425"
5,Avalanche,AVAX,"Apr 17, 2023",$21.09,$20.03,$20.20,$20.51,"$504,173,915","$6,692,155,900"
6,Avalanche,AVAX,"Apr 16, 2023",$20.46,$18.94,$19.11,$20.20,"$272,546,344","$6,589,925,002"
7,Avalanche,AVAX,"Apr 15, 2023",$19.51,$19.03,$19.25,$19.11,"$186,898,140","$6,232,864,308"
8,Avalanche,AVAX,"Apr 14, 2023",$19.31,$18.52,$18.85,$19.25,"$256,976,337","$6,278,836,034"
9,Avalanche,AVAX,"Apr 13, 2023",$19.01,$18.15,$18.26,$18.85,"$250,901,057","$6,150,113,916"
10,Avalanche,AVAX,"Apr 12, 2023",$18.70,$17.73,$18.16,$18.26,"$298,536,376","$5,955,001,509"
11,Avalanche,AVAX,"Apr 11, 2023",$18.56,$17.90,$17.93,$18.16,"$176,916,860","$5,924,576,743"
12,Avalanche,AVAX,"Apr 10, 2023",$17.96,$17.41,$17.56,$17.93,"$125,916,354","$5,848,701,660"
13,Avalanche,AVAX,"Apr 09, 2023",$17.64,$17.28,$17.47,$17.56,"$92,348,601","$5,727,390,425"
14,Avalanche,AVAX,"Apr 08, 2023",$17.74,$17.41,$17.62,$17.46,"$87,844,490","$5,695,993,766"
15,Avalanche,AVAX,"Apr 07, 2023",$18.12,$17.54,$18.00,$17.62,"$128,153,713","$5,747,925,797"
16,Avalanche,AVAX,"Apr 06, 2023",$18.31,$17.70,$17.99,$18.00,"$175,964,595","$5,870,925,117"
17,Avalanche,AVAX,"Apr 05, 2023",$18.31,$17.64,$17.65,$17.99,"$221,196,176","$5,866,737,758"
18,Avalanche,AVAX,"Apr 04, 2023",$17.65,$16.99,$17.10,$17.65,"$143,457,849","$5,752,923,573"
19,Avalanche,AVAX,"Apr 03, 2023",$17.42,$16.74,$17.26,$17.10,"$183,483,019","$5,574,345,247"
20,Avalanche,AVAX,"Apr 02, 2023",$17.84,$17.12,$17.80,$17.26,"$122,730,984","$5,626,871,630"
21,Avalanche,AVAX,"Apr 01, 2023",$17.88,$17.57,$17.71,$17.80,"$120,217,970","$5,801,075,160"
22,Avalanche,AVAX,"Mar 31, 2023",$17.83,$17.12,$17.25,$17.72,"$188,033,602","$5,774,034,244"
23,Avalanche,AVAX,"Mar 30, 2023",$17.53,$17.06,$17.30,$17.25,"$201,197,047","$5,619,924,022"
24,Avalanche,AVAX,"Mar 29, 2023",$17.39,$16.69,$16.73,$17.29,"$173,033,738","$5,635,536,825"
25,Avalanche,AVAX,"Mar 28, 2023",$16.80,$16.35,$16.50,$16.73,"$157,163,428","$5,449,798,161"
26,Avalanche,AVAX,"Mar 27, 2023",$17.15,$16.15,$17.13,$16.50,"$155,993,864","$5,376,735,026"
27,Avalanche,AVAX,"Mar 26, 2023",$17.28,$16.88,$16.88,$17.13,"$120,192,188","$5,581,936,364"
28,Avalanche,AVAX,"Mar 25, 2023",$17.15,$16.43,$16.98,$16.88,"$160,302,358","$5,498,865,124"
29,Avalanche,AVAX,"Mar 24, 2023",$17.64,$16.76,$17.56,$16.99,"$165,076,426","$5,533,556,689"
30,Avalanche,AVAX,"Mar 23, 2023",$17.83,$16.65,$16.78,$17.56,"$225,499,693","$5,720,376,800"
31,Avalanche,AVAX,"Mar 22, 2023",$17.92,$16.38,$17.48,$16.78,"$309,254,853","$5,464,312,495"
32,Avalanche,AVAX,"Mar 21, 2023",$17.53,$16.43,$16.65,$17.49,"$201,360,715","$5,693,820,945"
33,Avalanche,AVAX,"Mar 20, 2023",$17.80,$16.62,$17.56,$16.64,"$226,183,876","$5,418,625,875"
34,Avalanche,AVAX,"Mar 19, 2023",$18.10,$16.99,$16.99,$17.56,"$188,260,913","$5,718,836,530"
35,Avalanche,AVAX,"Mar 18, 2023",$18.18,$16.95,$17.65,$16.99,"$260,105,946","$5,531,311,650"
36,Avalanche,AVAX,"Mar 17, 2023",$17.72,$15.71,$15.88,$17.65,"$249,635,546","$5,745,802,258"
37,Avalanche,AVAX,"Mar 16, 2023",$16.07,$15.38,$15.59,$15.88,"$199,893,661","$5,169,256,905"
38,Avalanche,AVAX,"Mar 15, 2023",$17.48,$15.45,$17.18,$15.59,"$314,371,131","$5,074,074,865"
39,Avalanche,AVAX,"Mar 14, 2023",$17.89,$16.21,$16.50,$17.18,"$425,237,957","$5,593,156,610"
40,Avalanche,AVAX,"Mar 13, 2023",$16.79,$15.56,$16.26,$16.50,"$326,292,018","$5,371,483,035"
41,Avalanche,AVAX,"Mar 12, 2023",$16.31,$14.36,$14.64,$16.26,"$247,416,383","$5,291,998,840"
42,Avalanche,AVAX,"Mar 11, 2023",$15.18,$14.10,$14.83,$14.64,"$242,350,091","$4,765,369,657"
43,Avalanche,AVAX,"Mar 10, 2023",$15.09,$13.94,$14.41,$14.83,"$295,964,794","$4,825,707,274"
44,Avalanche,AVAX,"Mar 09, 2023",$15.67,$14.26,$15.14,$14.40,"$223,903,610","$4,685,404,866"
45,Avalanche,AVAX,"Mar 08, 2023",$16.24,$15.09,$16.17,$15.13,"$168,121,578","$4,922,907,650"
46,Avalanche,AVAX,"Mar 07, 2023",$16.70,$15.91,$16.52,$16.17,"$161,466,099","$5,259,545,619"
47,Avalanche,AVAX,"Mar 06, 2023",$16.58,$15.86,$16.16,$16.52,"$162,196,354","$5,371,694,912"
48,Avalanche,AVAX,"Mar 05, 2023",$16.50,$16.09,$16.12,$16.16,"$108,593,997","$5,252,884,573"
49,Avalanche,AVAX,"Mar 04, 2023",$16.87,$15.82,$16.65,$16.12,"$122,435,703","$5,239,281,148"
50,Avalanche,AVAX,"Mar 03, 2023",$17.47,$15.94,$17.45,$16.65,"$205,495,359","$5,409,452,577"
51,Avalanche,AVAX,"Mar 02, 2023",$17.83,$17.16,$17.76,$17.45,"$132,504,184","$5,666,750,646"
52,Avalanche,AVAX,"Mar 01, 2023",$17.80,$17.03,$17.08,$17.76,"$159,270,741","$5,768,550,298"
53,Avalanche,AVAX,"Feb 28, 2023",$17.94,$17.00,$17.94,$17.08,"$200,107,205","$5,547,291,971"
54,Avalanche,AVAX,"Feb 27, 2023",$18.62,$17.79,$18.44,$17.94,"$198,821,795","$5,825,848,083"
55,Avalanche,AVAX,"Feb 26, 2023",$18.56,$17.85,$17.96,$18.44,"$151,162,317","$5,816,921,088"
56,Avalanche,AVAX,"Feb 25, 2023",$18.56,$17.54,$18.37,$17.96,"$242,999,790","$5,664,047,757"
57,Avalanche,AVAX,"Feb 24, 2023",$19.81,$18.14,$19.70,$18.37,"$298,510,977","$5,792,990,806"
58,Avalanche,AVAX,"Feb 23, 2023",$20.70,$19.58,$20.32,$19.70,"$309,191,497","$6,208,806,819"
59,Avalanche,AVAX,"Feb 22, 2023",$21.46,$19.65,$20.94,$20.31,"$605,541,357","$6,401,612,760"
60,Avalanche,AVAX,"Feb 21, 2023",$21.60,$20.02,$20.82,$20.94,"$489,974,940","$6,598,772,361"
61,Avalanche,AVAX,"Feb 20, 2023",$21.31,$19.22,$19.81,$20.81,"$483,461,795","$6,558,006,774"
62,Avalanche,AVAX,"Feb 19, 2023",$20.37,$19.44,$19.57,$19.80,"$288,113,872","$6,240,142,884"
63,Avalanche,AVAX,"Feb 18, 2023",$20.03,$19.36,$19.48,$19.58,"$258,172,528","$6,169,749,926"
64,Avalanche,AVAX,"Feb 17, 2023",$19.62,$18.52,$18.61,$19.48,"$249,597,693","$6,137,825,278"
65,Avalanche,AVAX,"Feb 16, 2023",$20.31,$18.58,$19.92,$18.61,"$362,001,305","$5,866,010,989"
66,Avalanche,AVAX,"Feb 15, 2023",$19.92,$17.94,$18.15,$19.92,"$256,514,870","$6,278,452,375"
67,Avalanche,AVAX,"Feb 14, 2023",$18.26,$17.38,$17.62,$18.15,"$249,864,205","$5,718,595,218"
68,Avalanche,AVAX,"Feb 13, 2023",$17.84,$16.93,$17.77,$17.62,"$245,266,831","$5,552,820,333"
69,Avalanche,AVAX,"Feb 12, 2023",$18.47,$17.62,$18.03,$17.77,"$259,289,328","$5,599,372,961"
70,Avalanche,AVAX,"Feb 11, 2023",$18.07,$17.70,$17.80,$18.03,"$134,054,933","$5,681,427,620"
71,Avalanche,AVAX,"Feb 10, 2023",$18.22,$17.63,$17.88,$17.80,"$232,811,782","$5,608,773,620"
72,Avalanche,AVAX,"Feb 09, 2023",$20.21,$17.66,$20.09,$17.87,"$387,714,367","$5,632,527,725"
73,Avalanche,AVAX,"Feb 08, 2023",$21.00,$19.74,$20.84,$20.08,"$257,585,287","$6,327,951,511"
74,Avalanche,AVAX,"Feb 07, 2023",$20.92,$19.57,$19.58,$20.85,"$316,667,706","$6,568,381,329"
75,Avalanche,AVAX,"Feb 06, 2023",$20.37,$19.56,$20.11,$19.59,"$228,201,924","$6,171,201,081"
76,Avalanche,AVAX,"Feb 05, 2023",$21.12,$19.78,$21.03,$20.11,"$341,651,159","$6,335,560,559"
77,Avalanche,AVAX,"Feb 04, 2023",$21.62,$20.99,$21.36,$21.02,"$270,970,237","$6,624,201,886"
78,Avalanche,AVAX,"Feb 03, 2023",$21.84,$20.88,$21.17,$21.37,"$449,947,551","$6,730,112,828"
79,Avalanche,AVAX,"Feb 02, 2023",$22.71,$20.95,$20.96,$21.18,"$923,881,872","$6,671,709,195"
80,Avalanche,AVAX,"Feb 01, 2023",$20.97,$18.80,$19.84,$20.97,"$578,705,289","$6,603,518,639"
81,Avalanche,AVAX,"Jan 31, 2023",$20.10,$19.40,$19.74,$19.84,"$398,085,253","$6,248,145,596"
82,Avalanche,AVAX,"Jan 30, 2023",$21.18,$19.43,$21.08,$19.74,"$665,345,570","$6,214,187,135"
83,Avalanche,AVAX,"Jan 29, 2023",$21.12,$20.23,$20.60,$21.08,"$420,146,185","$6,635,916,432"
84,Avalanche,AVAX,"Jan 28, 2023",$21.68,$20.15,$21.25,$20.60,"$689,054,377","$6,486,318,778"
85,Avalanche,AVAX,"Jan 27, 2023",$21.55,$17.63,$18.11,$21.25,"$680,858,655","$6,690,289,199"
86,Avalanche,AVAX,"Jan 26, 2023",$18.72,$17.80,$17.80,$18.11,"$485,573,315","$5,696,662,350"
87,Avalanche,AVAX,"Jan 25, 2023",$18.22,$16.60,$17.02,$17.80,"$373,780,820","$5,600,925,400"
88,Avalanche,AVAX,"Jan 24, 2023",$18.86,$16.94,$18.00,$17.02,"$483,621,029","$5,353,463,490"
89,Avalanche,AVAX,"Jan 23, 2023",$18.28,$17.35,$17.36,$18.01,"$447,269,431","$5,663,621,818"
90,Avalanche,AVAX,"Jan 22, 2023",$18.37,$16.88,$16.89,$17.36,"$528,180,733","$5,460,041,400"
91,Avalanche,AVAX,"Jan 21, 2023",$17.73,$16.89,$17.52,$16.90,"$451,849,941","$5,313,521,649"
92,Avalanche,AVAX,"Jan 20, 2023",$17.53,$15.90,$16.19,$17.52,"$377,589,626","$5,509,697,993"
93,Avalanche,AVAX,"Jan 19, 2023",$16.26,$15.75,$15.81,$16.20,"$275,014,984","$5,092,772,665"
94,Avalanche,AVAX,"Jan 18, 2023",$17.38,$15.77,$17.13,$15.80,"$466,860,281","$4,924,347,314"
95,Avalanche,AVAX,"Jan 17, 2023",$18.14,$16.67,$16.74,$17.13,"$549,733,348","$5,336,340,156"
96,Avalanche,AVAX,"Jan 16, 2023",$17.28,$16.22,$16.80,$16.74,"$455,814,602","$5,216,130,711"
97,Avalanche,AVAX,"Jan 15, 2023",$17.04,$16.05,$16.96,$16.80,"$514,796,096","$5,233,681,678"
98,Avalanche,AVAX,"Jan 14, 2023",$18.34,$15.94,$15.96,$16.96,"$1,069,929,455","$5,283,828,053"
99,Avalanche,AVAX,"Jan 13, 2023",$16.43,$15.05,$15.46,$15.96,"$594,284,894","$4,973,543,593"
100,Avalanche,AVAX,"Jan 12, 2023",$16.38,$14.89,$15.90,$15.46,"$821,227,059","$4,816,234,315"
101,Avalanche,AVAX,"Jan 11, 2023",$15.91,$12.32,$12.73,$15.91,"$815,639,199","$4,958,494,661"
102,Avalanche,AVAX,"Jan 10, 2023",$12.87,$12.09,$12.21,$12.73,"$230,945,289","$3,966,827,441"
103,Avalanche,AVAX,"Jan 09, 2023",$12.63,$12.07,$12.07,$12.21,"$331,158,364","$3,804,304,835"
104,Avalanche,AVAX,"Jan 08, 2023",$12.13,$11.61,$11.74,$12.07,"$133,385,894","$3,761,602,015"
105,Avalanche,AVAX,"Jan 07, 2023",$11.85,$11.67,$11.78,$11.74,"$99,819,319","$3,659,041,325"
106,Avalanche,AVAX,"Jan 06, 2023",$11.80,$11.39,$11.74,$11.78,"$135,298,028","$3,670,813,433"
107,Avalanche,AVAX,"Jan 05, 2023",$12.15,$11.72,$12.08,$11.74,"$148,011,463","$3,658,035,425"
108,Avalanche,AVAX,"Jan 04, 2023",$12.27,$11.36,$11.38,$12.08,"$203,700,017","$3,763,168,659"
109,Avalanche,AVAX,"Jan 03, 2023",$11.53,$11.09,$11.15,$11.38,"$165,410,541","$3,547,191,253"
110,Avalanche,AVAX,"Jan 02, 2023",$11.23,$10.74,$10.87,$11.15,"$128,530,323","$3,475,267,304"
