SNo,Name,Symbol,Date,High,Low,Open,Close,Volume,Marketcap
1,Bitcoin Cash,BCH,"Apr 21, 2023",$124.77,$118.72,$123.11,$119.75,"$110,461,167","$2,319,707,923"
2,Bitcoin Cash,BCH,"Apr 20, 2023",$126.64,$121.83,$125.08,$123.11,"$134,532,218","$2,384,676,430"
3,Bitcoin Cash,BCH,"Apr 19, 2023",$133.78,$123.94,$133.59,$125.09,"$157,215,946","$2,422,959,073"
4,Bitcoin Cash,BCH,"Apr 18, 2023",$134.13,$130.83,$131.62,$133.60,"$112,024,509","$2,587,649,909"
5,Bitcoin Cash,BCH,"Apr 17, 2023",$134.52,$130.90,$134.46,$131.62,"$117,754,450","$2,549,071,408"
6,Bitcoin Cash,BCH,"Apr 16, 2023",$135.97,$131.74,$132.80,$134.45,"$114,434,126","$2,603,922,894"
7,Bitcoin Cash,BCH,"Apr 15, 2023",$133.42,$131.06,$132.50,$132.81,"$108,023,622","$2,571,875,402"
8,Bitcoin Cash,BCH,"Apr 14, 2023",$134.27,$129.31,$131.23,$132.49,"$133,266,699","$2,565,729,781"
9,Bitcoin Cash,BCH,"Apr 13, 2023",$131.74,$128.27,$128.85,$131.24,"$116,155,822","$2,541,234,955"
10,Bitcoin Cash,BCH,"Apr 12, 2023",$129.75,$126.04,$129.14,$128.87,"$106,621,583","$2,495,287,838"
11,Bitcoin Cash,BCH,"Apr 11, 2023",$130.26,$127.66,$127.99,$129.14,"$112,965,138","$2,500,419,883"
12,Bitcoin Cash,BCH,"Apr 10, 2023",$128.43,$124.36,$125.54,$127.99,"$104,181,884","$2,477,985,914"
13,Bitcoin Cash,BCH,"Apr 09, 2023",$126.25,$123.64,$123.83,$125.55,"$80,526,038","$2,430,738,145"
14,Bitcoin Cash,BCH,"Apr 08, 2023",$125.18,$123.19,$124.66,$123.82,"$78,481,532","$2,397,085,105"
15,Bitcoin Cash,BCH,"Apr 07, 2023",$126.44,$123.52,$126.05,$124.68,"$96,333,613","$2,413,703,703"
16,Bitcoin Cash,BCH,"Apr 06, 2023",$127.42,$125.37,$127.27,$126.07,"$99,703,664","$2,440,492,100"
17,Bitcoin Cash,BCH,"Apr 05, 2023",$129.70,$125.86,$127.14,$127.25,"$120,721,406","$2,463,109,435"
18,Bitcoin Cash,BCH,"Apr 04, 2023",$128.20,$126.11,$127.82,$127.14,"$120,449,269","$2,460,846,217"
19,Bitcoin Cash,BCH,"Apr 03, 2023",$129.15,$120.54,$123.03,$127.84,"$185,604,852","$2,474,265,247"
20,Bitcoin Cash,BCH,"Apr 02, 2023",$126.44,$121.72,$126.27,$123.04,"$111,112,400","$2,381,235,398"
