SNo,Name,Symbol,Date,High,Low,Open,Close,Volume,Marketcap
1,Binance Coin,BNB,"Apr 21, 2023",$331.42,$316.12,$317.92,$321.67,"$1,057,530,805","$50,137,693,951"
2,Binance Coin,BNB,"Apr 20, 2023",$326.55,$315.90,$322.59,$317.89,"$663,981,561","$49,547,838,247"
3,Binance Coin,BNB,"Apr 19, 2023",$343.53,$321.05,$343.17,$322.71,"$826,810,466","$50,298,806,445"
4,Binance Coin,BNB,"Apr 18, 2023",$346.49,$337.86,$340.04,$343.19,"$741,280,408","$53,491,920,586"
5,Binance Coin,BNB,"Apr 17, 2023",$350.07,$338.26,$348.18,$339.99,"$856,381,072","$52,993,350,054"
6,Binance Coin,BNB,"Apr 16, 2023",$349.96,$331.29,$333.39,$348.22,"$936,315,454","$54,275,690,980"
7,Binance Coin,BNB,"Apr 15, 2023",$335.97,$327.57,$329.17,$333.41,"$730,957,108","$51,966,811,410"
8,Binance Coin,BNB,"Apr 14, 2023",$335.52,$324.04,$324.98,$329.17,"$941,862,415","$51,307,022,507"
9,Binance Coin,BNB,"Apr 13, 2023",$325.24,$318.16,$320.02,$324.95,"$684,442,464","$51,299,960,754"
10,Binance Coin,BNB,"Apr 12, 2023",$323.49,$317.34,$322.77,$318.95,"$639,928,192","$50,353,689,277"
11,Binance Coin,BNB,"Apr 11, 2023",$332.88,$318.14,$318.41,$322.76,"$896,643,000","$50,959,054,973"
12,Binance Coin,BNB,"Apr 10, 2023",$318.38,$311.81,$312.87,$318.38,"$565,754,261","$50,267,708,515"
13,Binance Coin,BNB,"Apr 09, 2023",$313.61,$309.88,$310.66,$312.87,"$465,627,007","$49,398,327,195"
14,Binance Coin,BNB,"Apr 08, 2023",$312.68,$310.39,$310.67,$310.63,"$461,767,801","$49,045,109,219"
15,Binance Coin,BNB,"Apr 07, 2023",$312.87,$309.98,$312.45,$310.70,"$478,098,163","$49,055,397,082"
16,Binance Coin,BNB,"Apr 06, 2023",$314.59,$311.06,$314.08,$312.45,"$530,706,217","$49,332,583,159"
17,Binance Coin,BNB,"Apr 05, 2023",$316.31,$310.51,$311.00,$314.06,"$592,856,922","$49,586,621,148"
18,Binance Coin,BNB,"Apr 04, 2023",$312.09,$308.46,$308.59,$310.99,"$575,672,802","$49,102,236,623"
19,Binance Coin,BNB,"Apr 03, 2023",$314.03,$300.51,$313.94,$308.56,"$701,865,645","$48,718,247,160"
