SNo,Name,Symbol,Date,High,Low,Open,Close,Volume,Marketcap
1,Bitcoin,BTC,"Apr 21, 2023","$28,349.97","$27,177.37","$28,249.23","$27,276.91","$20,759,504,330","$527,883,377,618"
2,Bitcoin,BTC,"Apr 20, 2023","$29,076.40","$28,037.26","$28,823.68","$28,245.99","$21,340,360,360","$546,611,911,813"
3,Bitcoin,BTC,"Apr 19, 2023","$30,411.05","$28,669.90","$30,394.19","$28,822.68","$24,571,565,421","$557,748,035,703"
4,Bitcoin,BTC,"Apr 18, 2023","$30,470.30","$29,154.85","$29,449.09","$30,397.55","$19,480,529,496","$588,197,752,221"
5,Bitcoin,BTC,"Apr 17, 2023","$30,319.20","$29,275.37","$30,317.15","$29,445.04","$17,872,186,762","$569,735,854,497"
6,Bitcoin,BTC,"Apr 16, 2023","$30,555.54","$30,157.83","$30,315.98","$30,315.36","$12,854,816,417","$586,546,802,552"
7,Bitcoin,BTC,"Apr 15, 2023","$30,601.74","$30,245.88","$30,490.75","$30,318.50","$11,940,685,378","$586,582,359,795"
8,Bitcoin,BTC,"Apr 14, 2023","$31,005.61","$30,044.50","$30,409.56","$30,485.70","$22,659,995,079","$589,786,626,447"
9,Bitcoin,BTC,"Apr 13, 2023","$30,539.85","$29,878.62","$29,892.74","$30,399.07","$17,487,721,001","$588,084,165,990"
10,Bitcoin,BTC,"Apr 12, 2023","$30,462.48","$29,725.57","$30,231.58","$30,139.05","$18,651,929,926","$583,034,311,649"
11,Bitcoin,BTC,"Apr 11, 2023","$30,509.08","$29,609.30","$29,653.68","$30,235.06","$20,121,259,843","$584,854,674,446"
12,Bitcoin,BTC,"Apr 10, 2023","$29,771.46","$28,189.27","$28,336.03","$29,652.98","$19,282,400,094","$573,568,312,635"
13,Bitcoin,BTC,"Apr 09, 2023","$28,532.83","$27,828.48","$27,952.37","$28,333.05","$12,175,322,951","$548,015,190,714"
14,Bitcoin,BTC,"Apr 08, 2023","$28,159.86","$27,883.39","$27,920.51","$27,947.79","$9,373,255,556","$540,536,533,675"
15,Bitcoin,BTC,"Apr 07, 2023","$28,111.59","$27,794.03","$28,038.97","$27,925.86","$10,861,680,497","$540,086,456,069"
16,Bitcoin,BTC,"Apr 06, 2023","$28,178.38","$27,738.76","$28,175.23","$28,044.14","$13,837,809,380","$542,349,825,342"
17,Bitcoin,BTC,"Apr 05, 2023","$28,739.24","$27,843.76","$28,169.73","$28,177.98","$17,052,315,986","$544,910,072,722"
18,Bitcoin,BTC,"Apr 04, 2023","$28,433.74","$27,681.31","$27,795.27","$28,168.09","$15,284,538,859","$544,693,901,828"
19,Bitcoin,BTC,"Apr 03, 2023","$28,475.62","$27,276.72","$28,183.08","$27,790.22","$19,556,501,327","$537,360,742,270"
20,Bitcoin,BTC,"Apr 02, 2023","$28,518.96","$27,884.09","$28,462.84","$28,199.31","$12,284,641,999","$545,245,950,698"
21,Bitcoin,BTC,"Apr 01, 2023","$28,802.46","$28,297.17","$28,473.33","$28,411.03","$10,876,469,901","$549,318,113,504"
22,Bitcoin,BTC,"Mar 31, 2023","$28,639.90","$27,583.72","$28,032.26","$28,478.48","$19,001,327,598","$550,593,053,897"
23,Bitcoin,BTC,"Mar 30, 2023","$29,159.90","$27,720.16","$28,350.14","$28,033.56","$22,435,349,951","$541,964,802,720"
24,Bitcoin,BTC,"Mar 29, 2023","$28,619.54","$27,259.66","$27,267.03","$28,348.44","$20,684,945,906","$548,025,510,533"
25,Bitcoin,BTC,"Mar 28, 2023","$27,460.72","$26,677.82","$27,132.89","$27,268.13","$17,783,600,385","$527,117,850,101"
26,Bitcoin,BTC,"Mar 27, 2023","$28,037.93","$26,606.69","$27,994.07","$27,139.89","$18,188,895,178","$524,615,890,807"
27,Bitcoin,BTC,"Mar 26, 2023","$28,178.14","$27,445.05","$27,495.52","$27,994.33","$13,878,363,192","$541,106,062,438"
28,Bitcoin,BTC,"Mar 25, 2023","$27,791.83","$27,196.23","$27,487.34","$27,494.71","$13,383,005,987","$531,424,045,823"
29,Bitcoin,BTC,"Mar 24, 2023","$28,388.44","$27,039.27","$28,324.11","$27,493.29","$25,980,310,960","$531,370,969,956"
30,Bitcoin,BTC,"Mar 23, 2023","$28,729.84","$27,183.36","$27,301.96","$28,333.97","$24,220,433,689","$547,590,658,474"
