SNo,Name,Symbol,Date,High,Low,Open,Close,Volume,Marketcap
1,Compound,COMP,"Apr 21, 2023",$41.09,$38.26,$40.48,$38.73,"$26,544,273","$288,218,471"
2,Compound,COMP,"Apr 20, 2023",$41.85,$40.08,$41.46,$40.48,"$24,309,366","$294,157,364"
3,Compound,COMP,"Apr 19, 2023",$46.21,$40.91,$46.21,$41.47,"$34,091,620","$301,360,231"
4,Compound,COMP,"Apr 18, 2023",$46.78,$45.34,$45.47,$46.21,"$27,964,247","$335,821,472"
5,Compound,COMP,"Apr 17, 2023",$46.49,$44.66,$46.32,$45.47,"$24,432,842","$330,416,797"
6,Compound,COMP,"Apr 16, 2023",$46.77,$44.40,$45.19,$46.30,"$26,995,814","$336,478,356"
7,Compound,COMP,"Apr 15, 2023",$45.64,$44.47,$45.14,$45.19,"$23,033,864","$328,397,424"
8,Compound,COMP,"Apr 14, 2023",$45.69,$43.75,$44.36,$45.14,"$28,058,810","$328,042,420"
9,Compound,COMP,"Apr 13, 2023",$44.38,$42.47,$43.07,$44.35,"$21,867,991","$322,317,447"
10,Compound,COMP,"Apr 12, 2023",$43.68,$42.00,$43.51,$43.08,"$27,761,969","$313,041,703"
11,Compound,COMP,"Apr 11, 2023",$44.27,$43.45,$43.75,$43.51,"$21,667,662","$316,195,241"
12,Compound,COMP,"Apr 10, 2023",$43.79,$42.11,$42.87,$43.75,"$20,225,205","$317,972,288"
13,Compound,COMP,"Apr 09, 2023",$43.12,$41.75,$42.18,$42.87,"$18,958,982","$311,566,903"
14,Compound,COMP,"Apr 08, 2023",$42.70,$41.81,$42.66,$42.18,"$18,044,876","$306,502,226"
15,Compound,COMP,"Apr 07, 2023",$43.45,$42.00,$43.12,$42.66,"$18,703,263","$309,982,580"
16,Compound,COMP,"Apr 06, 2023",$43.77,$42.56,$43.77,$43.12,"$21,151,566","$313,361,980"
17,Compound,COMP,"Apr 05, 2023",$44.66,$43.16,$43.63,$43.78,"$23,122,251","$318,160,187"
18,Compound,COMP,"Apr 04, 2023",$43.99,$42.14,$42.65,$43.63,"$21,495,724","$317,089,894"
19,Compound,COMP,"Apr 03, 2023",$43.35,$41.16,$42.29,$42.65,"$25,880,628","$309,939,151"
20,Compound,COMP,"Apr 02, 2023",$44.22,$41.75,$43.60,$42.29,"$19,859,009","$307,303,814"
21,Compound,COMP,"Apr 01, 2023",$43.72,$42.72,$43.14,$43.61,"$19,109,529","$316,900,616"
22,Compound,COMP,"Mar 31, 2023",$43.26,$41.46,$42.37,$43.14,"$21,818,105","$313,533,612"
23,Compound,COMP,"Mar 30, 2023",$44.14,$41.50,$43.61,$42.37,"$24,995,973","$307,880,763"
24,Compound,COMP,"Mar 29, 2023",$43.98,$41.73,$41.77,$43.61,"$23,013,520","$316,931,546"
25,Compound,COMP,"Mar 28, 2023",$42.28,$40.50,$41.14,$41.77,"$16,606,139","$303,551,556"
26,Compound,COMP,"Mar 27, 2023",$42.85,$40.13,$42.66,$41.14,"$22,768,280","$298,959,423"
27,Compound,COMP,"Mar 26, 2023",$43.00,$41.81,$41.92,$42.66,"$15,473,184","$310,031,264"
28,Compound,COMP,"Mar 25, 2023",$42.66,$41.64,$42.42,$41.92,"$15,761,065","$304,653,034"
29,Compound,COMP,"Mar 24, 2023",$44.41,$41.88,$44.15,$42.42,"$22,548,511","$308,285,196"
30,Compound,COMP,"Mar 23, 2023",$44.65,$42.19,$42.71,$44.15,"$21,871,799","$320,837,360"
31,Compound,COMP,"Mar 22, 2023",$45.69,$41.70,$45.69,$42.71,"$29,618,468","$310,380,310"
32,Compound,COMP,"Mar 21, 2023",$45.70,$42.92,$43.74,$45.70,"$24,906,668","$332,094,877"
33,Compound,COMP,"Mar 20, 2023",$46.44,$43.69,$46.19,$43.74,"$30,453,109","$317,834,988"
34,Compound,COMP,"Mar 19, 2023",$47.42,$44.92,$44.92,$46.20,"$24,314,296","$335,726,147"
35,Compound,COMP,"Mar 18, 2023",$47.84,$44.84,$46.77,$44.92,"$30,659,938","$326,469,753"
36,Compound,COMP,"Mar 17, 2023",$46.77,$42.69,$43.29,$46.76,"$29,920,945","$339,841,751"
37,Compound,COMP,"Mar 16, 2023",$43.72,$42.29,$42.76,$43.29,"$24,579,354","$314,585,343"
38,Compound,COMP,"Mar 15, 2023",$47.94,$41.68,$46.69,$42.74,"$38,694,235","$310,626,957"
