SNo,Name,Symbol,Date,High,Low,Open,Close,Volume,Marketcap
1,Dash,DASH,"Apr 21, 2023",$52.15,$48.38,$51.67,$48.91,"$77,530,635","$549,782,189"
2,Dash,DASH,"Apr 20, 2023",$53.50,$51.12,$53.09,$51.67,"$91,714,169","$580,763,986"
3,Dash,DASH,"Apr 19, 2023",$59.75,$52.74,$59.75,$53.10,"$109,631,606","$596,702,453"
4,Dash,DASH,"Apr 18, 2023",$60.29,$57.95,$58.46,$59.77,"$87,694,163","$671,571,983"
5,Dash,DASH,"Apr 17, 2023",$61.05,$58.17,$61.04,$58.46,"$91,286,709","$656,775,053"
6,Dash,DASH,"Apr 16, 2023",$61.88,$58.59,$59.75,$61.05,"$100,103,271","$685,818,054"
7,Dash,DASH,"Apr 15, 2023",$60.57,$58.96,$60.01,$59.76,"$90,249,101","$671,212,861"
8,Dash,DASH,"Apr 14, 2023",$60.04,$56.93,$57.29,$60.01,"$98,678,988","$673,950,684"
9,Dash,DASH,"Apr 13, 2023",$57.66,$55.56,$55.90,$57.29,"$81,164,952","$643,311,627"
10,Dash,DASH,"Apr 12, 2023",$57.13,$54.73,$57.03,$55.96,"$78,762,266","$628,346,732"
11,Dash,DASH,"Apr 11, 2023",$58.31,$56.94,$57.66,$57.04,"$87,433,122","$640,365,561"
12,Dash,DASH,"Apr 10, 2023",$57.75,$55.21,$55.79,$57.65,"$81,558,403","$647,150,175"
13,Dash,DASH,"Apr 09, 2023",$56.14,$54.67,$55.63,$55.78,"$71,869,633","$626,108,510"
14,Dash,DASH,"Apr 08, 2023",$56.44,$55.41,$56.07,$55.63,"$67,766,315","$624,303,999"
15,Dash,DASH,"Apr 07, 2023",$56.70,$55.55,$56.56,$56.07,"$72,655,539","$629,192,612"
16,Dash,DASH,"Apr 06, 2023",$57.74,$56.04,$57.69,$56.55,"$73,021,897","$634,482,194"
17,Dash,DASH,"Apr 05, 2023",$58.94,$56.87,$57.66,$57.68,"$85,411,072","$647,127,329"
18,Dash,DASH,"Apr 04, 2023",$58.08,$56.72,$57.86,$57.66,"$83,522,757","$646,845,672"
19,Dash,DASH,"Apr 03, 2023",$58.85,$55.65,$57.10,$57.86,"$87,010,465","$649,011,127"
20,Dash,DASH,"Apr 02, 2023",$59.28,$56.22,$58.76,$57.09,"$88,927,921","$640,305,790"
21,Dash,DASH,"Apr 01, 2023",$59.98,$58.31,$58.45,$58.54,"$78,184,412","$656,433,165"
22,Dash,DASH,"Mar 31, 2023",$58.59,$55.68,$56.48,$58.44,"$80,469,498","$655,264,983"
23,Dash,DASH,"Mar 30, 2023",$58.95,$55.39,$58.19,$56.47,"$88,904,952","$633,065,773"
24,Dash,DASH,"Mar 29, 2023",$58.77,$56.49,$56.50,$58.19,"$87,078,997","$652,274,283"
25,Dash,DASH,"Mar 28, 2023",$56.70,$54.83,$56.11,$56.50,"$79,909,600","$633,256,321"
26,Dash,DASH,"Mar 27, 2023",$59.27,$54.96,$59.26,$56.11,"$100,961,279","$628,769,743"
27,Dash,DASH,"Mar 26, 2023",$60.29,$57.72,$58.30,$59.26,"$92,051,754","$663,762,145"
28,Dash,DASH,"Mar 25, 2023",$62.09,$57.74,$61.68,$58.29,"$98,475,904","$652,812,921"
29,Dash,DASH,"Mar 24, 2023",$64.53,$60.02,$63.61,$61.67,"$130,837,189","$690,618,645"
30,Dash,DASH,"Mar 23, 2023",$64.00,$56.09,$58.91,$63.60,"$183,088,555","$712,124,377"
31,Dash,DASH,"Mar 22, 2023",$58.99,$54.26,$58.69,$58.90,"$114,387,631","$659,376,570"
32,Dash,DASH,"Mar 21, 2023",$58.71,$54.39,$55.83,$58.70,"$101,838,183","$652,827,104"
33,Dash,DASH,"Mar 20, 2023",$58.91,$55.71,$57.74,$55.82,"$117,959,494","$620,739,814"
34,Dash,DASH,"Mar 19, 2023",$58.61,$55.52,$55.80,$57.75,"$89,038,900","$642,225,907"
35,Dash,DASH,"Mar 18, 2023",$60.14,$55.75,$58.30,$55.79,"$104,517,781","$620,479,821"
36,Dash,DASH,"Mar 17, 2023",$58.30,$52.56,$53.10,$58.30,"$107,481,672","$648,357,785"
37,Dash,DASH,"Mar 16, 2023",$53.59,$51.85,$52.06,$53.10,"$97,456,893","$590,470,543"
38,Dash,DASH,"Mar 15, 2023",$59.50,$51.19,$58.51,$52.06,"$127,116,081","$578,989,989"
39,Dash,DASH,"Mar 14, 2023",$60.49,$54.69,$56.45,$58.50,"$136,910,476","$650,587,080"
40,Dash,DASH,"Mar 13, 2023",$57.46,$51.55,$53.46,$56.45,"$152,044,759","$627,767,557"
41,Dash,DASH,"Mar 12, 2023",$53.75,$45.99,$46.66,$53.44,"$117,463,300","$594,300,577"
42,Dash,DASH,"Mar 11, 2023",$51.41,$44.54,$50.17,$46.65,"$147,796,392","$518,744,172"
43,Dash,DASH,"Mar 10, 2023",$54.74,$47.70,$54.71,$50.17,"$152,232,559","$557,955,667"
44,Dash,DASH,"Mar 09, 2023",$60.21,$53.67,$58.27,$54.70,"$112,071,129","$608,344,562"
45,Dash,DASH,"Mar 08, 2023",$62.35,$58.06,$62.01,$58.26,"$102,770,262","$647,944,126"
46,Dash,DASH,"Mar 07, 2023",$63.32,$60.64,$62.45,$62.01,"$101,603,120","$689,638,822"
47,Dash,DASH,"Mar 06, 2023",$65.72,$61.59,$65.22,$62.45,"$130,229,924","$694,474,606"
48,Dash,DASH,"Mar 05, 2023",$68.70,$64.74,$67.33,$65.22,"$94,104,620","$725,255,610"
49,Dash,DASH,"Mar 04, 2023",$69.83,$65.91,$69.23,$67.31,"$92,908,794","$748,562,389"
