SNo,Name,Symbol,Date,High,Low,Open,Close,Volume,Marketcap
1,Dogecoin,DOGE,"Apr 21, 2023",$0.08,$0.08,$0.08,$0.08,"$853,137,910","$10,911,369,756"
2,Dogecoin,DOGE,"Apr 20, 2023",$0.09,$0.08,$0.09,$0.08,"$1,950,918,834","$11,669,039,185"
3,Dogecoin,DOGE,"Apr 19, 2023",$0.09,$0.09,$0.09,$0.09,"$1,277,738,666","$12,214,345,593"
4,Dogecoin,DOGE,"Apr 18, 2023",$0.09,$0.09,$0.09,$0.09,"$839,983,343","$13,063,917,997"
5,Dogecoin,DOGE,"Apr 17, 2023",$0.09,$0.09,$0.09,$0.09,"$1,360,494,890","$12,709,739,903"
6,Dogecoin,DOGE,"Apr 16, 2023",$0.09,$0.09,$0.09,$0.09,"$594,760,862","$12,572,717,972"
7,Dogecoin,DOGE,"Apr 15, 2023",$0.09,$0.09,$0.09,$0.09,"$463,978,095","$12,363,343,259"
8,Dogecoin,DOGE,"Apr 14, 2023",$0.09,$0.09,$0.09,$0.09,"$1,007,326,042","$12,335,793,357"
9,Dogecoin,DOGE,"Apr 13, 2023",$0.09,$0.08,$0.08,$0.09,"$810,485,328","$12,153,884,078"
10,Dogecoin,DOGE,"Apr 12, 2023",$0.08,$0.08,$0.08,$0.08,"$540,510,658","$11,590,290,297"
11,Dogecoin,DOGE,"Apr 11, 2023",$0.09,$0.08,$0.08,$0.08,"$472,611,203","$11,700,496,196"
12,Dogecoin,DOGE,"Apr 10, 2023",$0.09,$0.08,$0.08,$0.08,"$473,882,914","$11,784,713,831"
13,Dogecoin,DOGE,"Apr 09, 2023",$0.08,$0.08,$0.08,$0.08,"$454,428,407","$11,566,660,084"
14,Dogecoin,DOGE,"Apr 08, 2023",$0.08,$0.08,$0.08,$0.08,"$507,929,909","$11,303,822,549"
15,Dogecoin,DOGE,"Apr 07, 2023",$0.09,$0.08,$0.09,$0.08,"$858,234,171","$11,448,591,065"
16,Dogecoin,DOGE,"Apr 06, 2023",$0.09,$0.09,$0.09,$0.09,"$1,410,995,902","$11,857,921,068"
17,Dogecoin,DOGE,"Apr 05, 2023",$0.10,$0.09,$0.10,$0.09,"$1,529,520,651","$12,884,660,001"
18,Dogecoin,DOGE,"Apr 04, 2023",$0.10,$0.09,$0.10,$0.10,"$3,096,545,498","$13,208,604,269"
19,Dogecoin,DOGE,"Apr 03, 2023",$0.10,$0.08,$0.08,$0.10,"$3,497,240,136","$13,334,922,678"
20,Dogecoin,DOGE,"Apr 02, 2023",$0.09,$0.08,$0.08,$0.08,"$929,778,146","$10,975,862,483"
21,Dogecoin,DOGE,"Apr 01, 2023",$0.09,$0.08,$0.08,$0.08,"$933,070,185","$11,663,497,828"
22,Dogecoin,DOGE,"Mar 31, 2023",$0.08,$0.07,$0.07,$0.08,"$378,314,248","$10,688,721,915"
23,Dogecoin,DOGE,"Mar 30, 2023",$0.08,$0.07,$0.08,$0.07,"$372,289,117","$10,300,573,896"
24,Dogecoin,DOGE,"Mar 29, 2023",$0.08,$0.07,$0.07,$0.08,"$423,884,022","$10,033,549,236"
25,Dogecoin,DOGE,"Mar 28, 2023",$0.07,$0.07,$0.07,$0.07,"$276,514,415","$9,794,188,582"
26,Dogecoin,DOGE,"Mar 27, 2023",$0.08,$0.07,$0.07,$0.07,"$435,284,210","$9,670,972,505"
27,Dogecoin,DOGE,"Mar 26, 2023",$0.08,$0.07,$0.07,$0.07,"$228,916,506","$9,872,998,520"
28,Dogecoin,DOGE,"Mar 25, 2023",$0.08,$0.07,$0.07,$0.07,"$286,831,067","$9,823,505,288"
29,Dogecoin,DOGE,"Mar 24, 2023",$0.08,$0.07,$0.08,$0.07,"$396,748,009","$9,907,836,546"
30,Dogecoin,DOGE,"Mar 23, 2023",$0.08,$0.07,$0.07,$0.08,"$637,122,733","$10,270,276,504"
31,Dogecoin,DOGE,"Mar 22, 2023",$0.08,$0.07,$0.08,$0.07,"$693,511,781","$9,817,491,556"
32,Dogecoin,DOGE,"Mar 21, 2023",$0.08,$0.07,$0.07,$0.08,"$631,254,174","$10,201,528,051"
33,Dogecoin,DOGE,"Mar 20, 2023",$0.08,$0.07,$0.07,$0.07,"$409,238,948","$9,484,198,878"
34,Dogecoin,DOGE,"Mar 19, 2023",$0.08,$0.07,$0.07,$0.07,"$338,882,489","$9,925,476,913"
35,Dogecoin,DOGE,"Mar 18, 2023",$0.08,$0.07,$0.08,$0.07,"$517,840,653","$9,691,534,500"
36,Dogecoin,DOGE,"Mar 17, 2023",$0.08,$0.07,$0.07,$0.08,"$485,591,017","$10,150,506,287"
37,Dogecoin,DOGE,"Mar 16, 2023",$0.07,$0.07,$0.07,$0.07,"$326,147,102","$9,647,612,830"
38,Dogecoin,DOGE,"Mar 15, 2023",$0.08,$0.07,$0.07,$0.07,"$528,466,415","$9,269,225,080"
39,Dogecoin,DOGE,"Mar 14, 2023",$0.08,$0.07,$0.07,$0.07,"$652,033,915","$9,922,056,499"
40,Dogecoin,DOGE,"Mar 13, 2023",$0.07,$0.07,$0.07,$0.07,"$537,268,873","$9,690,358,173"
41,Dogecoin,DOGE,"Mar 12, 2023",$0.07,$0.07,$0.07,$0.07,"$375,272,678","$9,419,770,532"
42,Dogecoin,DOGE,"Mar 11, 2023",$0.07,$0.06,$0.07,$0.07,"$449,044,632","$8,835,092,065"
43,Dogecoin,DOGE,"Mar 10, 2023",$0.07,$0.06,$0.07,$0.07,"$475,760,293","$8,734,127,334"
