SNo,Name,Symbol,Date,High,Low,Open,Close,Volume,Marketcap
1,Polkadot,DOT,"Apr 21, 2023",$6.17,$5.80,$6.11,$5.85,"$213,504,772","$6,877,468,000"
2,Polkadot,DOT,"Apr 20, 2023",$6.43,$6.08,$6.32,$6.11,"$240,517,995","$7,211,922,168"
3,Polkadot,DOT,"Apr 19, 2023",$6.92,$6.27,$6.92,$6.32,"$301,612,588","$7,443,040,230"
4,Polkadot,DOT,"Apr 18, 2023",$6.98,$6.61,$6.70,$6.92,"$241,653,739","$8,268,966,433"
5,Polkadot,DOT,"Apr 17, 2023",$6.83,$6.65,$6.83,$6.70,"$210,933,974","$7,881,378,769"
6,Polkadot,DOT,"Apr 16, 2023",$6.87,$6.69,$6.81,$6.83,"$184,532,381","$8,041,163,248"
7,Polkadot,DOT,"Apr 15, 2023",$6.85,$6.65,$6.73,$6.81,"$194,370,592","$8,008,313,041"
8,Polkadot,DOT,"Apr 14, 2023",$6.84,$6.56,$6.64,$6.73,"$306,241,172","$7,920,609,626"
9,Polkadot,DOT,"Apr 13, 2023",$6.65,$6.36,$6.41,$6.64,"$205,465,267","$7,810,851,878"
10,Polkadot,DOT,"Apr 12, 2023",$6.47,$6.24,$6.43,$6.41,"$217,676,397","$7,530,167,609"
11,Polkadot,DOT,"Apr 11, 2023",$6.49,$6.29,$6.29,$6.43,"$206,394,580","$7,552,178,595"
12,Polkadot,DOT,"Apr 10, 2023",$6.31,$6.13,$6.22,$6.29,"$145,028,919","$7,391,371,171"
13,Polkadot,DOT,"Apr 09, 2023",$6.26,$6.11,$6.14,$6.22,"$130,492,162","$7,301,713,145"
14,Polkadot,DOT,"Apr 08, 2023",$6.23,$6.12,$6.18,$6.14,"$120,313,705","$7,205,872,829"
15,Polkadot,DOT,"Apr 07, 2023",$6.32,$6.15,$6.28,$6.18,"$149,605,230","$7,261,399,852"
16,Polkadot,DOT,"Apr 06, 2023",$6.41,$6.27,$6.40,$6.28,"$155,818,482","$7,372,234,639"
17,Polkadot,DOT,"Apr 05, 2023",$6.58,$6.34,$6.44,$6.40,"$185,043,509","$7,515,150,034"
18,Polkadot,DOT,"Apr 04, 2023",$6.53,$6.38,$6.43,$6.44,"$205,914,722","$7,557,094,277"
19,Polkadot,DOT,"Apr 03, 2023",$6.49,$6.12,$6.27,$6.43,"$230,216,695","$7,544,330,070"
20,Polkadot,DOT,"Apr 02, 2023",$6.44,$6.21,$6.35,$6.27,"$158,288,937","$7,348,649,019"
21,Polkadot,DOT,"Apr 01, 2023",$6.39,$6.22,$6.34,$6.35,"$139,826,886","$7,444,540,152"
