SNo,Name,Symbol,Date,High,Low,Open,Close,Volume,Marketcap
1,EOS,EOS,"Apr 21, 2023",$1.09,$1.03,$1.08,$1.04,"$143,727,359","$1,136,162,214"
2,EOS,EOS,"Apr 20, 2023",$1.11,$1.07,$1.10,$1.08,"$169,072,960","$1,172,395,197"
3,EOS,EOS,"Apr 19, 2023",$1.22,$1.09,$1.22,$1.10,"$216,313,454","$1,198,876,655"
4,EOS,EOS,"Apr 18, 2023",$1.23,$1.19,$1.21,$1.22,"$116,932,846","$1,327,136,729"
5,EOS,EOS,"Apr 17, 2023",$1.24,$1.20,$1.24,$1.21,"$131,137,299","$1,312,892,693"
6,EOS,EOS,"Apr 16, 2023",$1.25,$1.23,$1.24,$1.24,"$116,949,228","$1,347,961,467"
7,EOS,EOS,"Apr 15, 2023",$1.25,$1.23,$1.25,$1.24,"$124,865,542","$1,353,268,876"
8,EOS,EOS,"Apr 14, 2023",$1.29,$1.22,$1.26,$1.25,"$260,415,640","$1,361,328,116"
9,EOS,EOS,"Apr 13, 2023",$1.27,$1.20,$1.21,$1.26,"$178,242,359","$1,370,221,695"
10,EOS,EOS,"Apr 12, 2023",$1.24,$1.20,$1.23,$1.21,"$121,603,401","$1,316,789,327"
11,EOS,EOS,"Apr 11, 2023",$1.25,$1.23,$1.24,$1.23,"$123,619,781","$1,343,086,640"
12,EOS,EOS,"Apr 10, 2023",$1.24,$1.19,$1.21,$1.24,"$102,358,715","$1,346,011,978"
13,EOS,EOS,"Apr 09, 2023",$1.21,$1.18,$1.19,$1.21,"$93,234,257","$1,313,360,103"
14,EOS,EOS,"Apr 08, 2023",$1.23,$1.19,$1.21,$1.19,"$98,325,847","$1,296,827,898"
15,EOS,EOS,"Apr 07, 2023",$1.22,$1.19,$1.22,$1.21,"$104,410,468","$1,321,104,452"
16,EOS,EOS,"Apr 06, 2023",$1.25,$1.17,$1.19,$1.22,"$189,812,829","$1,325,748,084"
17,EOS,EOS,"Apr 05, 2023",$1.22,$1.17,$1.19,$1.19,"$109,818,088","$1,292,529,451"
18,EOS,EOS,"Apr 04, 2023",$1.20,$1.17,$1.17,$1.19,"$115,389,598","$1,297,826,119"
19,EOS,EOS,"Apr 03, 2023",$1.24,$1.15,$1.23,$1.17,"$189,311,232","$1,277,387,350"
20,EOS,EOS,"Apr 02, 2023",$1.23,$1.19,$1.19,$1.23,"$151,740,992","$1,336,501,490"
21,EOS,EOS,"Apr 01, 2023",$1.20,$1.18,$1.19,$1.19,"$109,698,773","$1,295,327,998"
22,EOS,EOS,"Mar 31, 2023",$1.21,$1.17,$1.19,$1.19,"$134,751,060","$1,298,723,031"
23,EOS,EOS,"Mar 30, 2023",$1.21,$1.14,$1.15,$1.19,"$227,527,350","$1,293,202,747"
24,EOS,EOS,"Mar 29, 2023",$1.15,$1.11,$1.11,$1.15,"$124,265,614","$1,249,193,702"
25,EOS,EOS,"Mar 28, 2023",$1.12,$1.07,$1.09,$1.11,"$141,715,591","$1,210,112,840"
26,EOS,EOS,"Mar 27, 2023",$1.15,$1.07,$1.14,$1.09,"$153,739,163","$1,179,758,763"
27,EOS,EOS,"Mar 26, 2023",$1.15,$1.11,$1.12,$1.14,"$96,575,317","$1,240,358,229"
28,EOS,EOS,"Mar 25, 2023",$1.18,$1.10,$1.16,$1.12,"$138,526,281","$1,212,268,288"
29,EOS,EOS,"Mar 24, 2023",$1.20,$1.14,$1.16,$1.16,"$209,048,607","$1,265,096,057"
30,EOS,EOS,"Mar 23, 2023",$1.16,$1.09,$1.10,$1.16,"$143,014,872","$1,261,783,343"
31,EOS,EOS,"Mar 22, 2023",$1.19,$1.08,$1.19,$1.10,"$199,326,793","$1,190,532,512"
32,EOS,EOS,"Mar 21, 2023",$1.19,$1.13,$1.15,$1.19,"$201,288,138","$1,286,036,175"
33,EOS,EOS,"Mar 20, 2023",$1.23,$1.13,$1.16,$1.15,"$335,641,159","$1,247,145,455"
34,EOS,EOS,"Mar 19, 2023",$1.18,$1.10,$1.10,$1.16,"$210,567,905","$1,253,592,413"
35,EOS,EOS,"Mar 18, 2023",$1.16,$1.10,$1.15,$1.10,"$192,373,915","$1,187,190,666"
36,EOS,EOS,"Mar 17, 2023",$1.15,$1.07,$1.08,$1.15,"$182,081,859","$1,242,450,983"
37,EOS,EOS,"Mar 16, 2023",$1.08,$1.04,$1.04,$1.08,"$163,775,197","$1,170,663,194"
38,EOS,EOS,"Mar 15, 2023",$1.15,$1.02,$1.11,$1.04,"$220,494,456","$1,126,623,409"
39,EOS,EOS,"Mar 14, 2023",$1.14,$1.06,$1.08,$1.11,"$241,947,542","$1,199,529,528"
40,EOS,EOS,"Mar 13, 2023",$1.10,$1.01,$1.06,$1.08,"$257,668,653","$1,170,870,889"
41,EOS,EOS,"Mar 12, 2023",$1.06,$0.97,$1.00,$1.06,"$202,216,604","$1,141,047,318"
42,EOS,EOS,"Mar 11, 2023",$1.07,$0.97,$1.04,$1.00,"$226,349,839","$1,083,894,433"
43,EOS,EOS,"Mar 10, 2023",$1.06,$1.01,$1.06,$1.04,"$241,184,886","$1,129,590,638"
44,EOS,EOS,"Mar 09, 2023",$1.18,$1.04,$1.12,$1.06,"$241,157,555","$1,141,603,475"
45,EOS,EOS,"Mar 08, 2023",$1.18,$1.11,$1.18,$1.12,"$158,972,691","$1,211,711,924"
46,EOS,EOS,"Mar 07, 2023",$1.22,$1.16,$1.21,$1.18,"$167,760,299","$1,276,889,355"
47,EOS,EOS,"Mar 06, 2023",$1.24,$1.20,$1.22,$1.21,"$177,903,498","$1,309,812,421"
48,EOS,EOS,"Mar 05, 2023",$1.25,$1.20,$1.22,$1.22,"$204,659,012","$1,323,002,732"
49,EOS,EOS,"Mar 04, 2023",$1.33,$1.20,$1.33,$1.22,"$335,199,018","$1,323,282,518"
50,EOS,EOS,"Mar 03, 2023",$1.33,$1.15,$1.24,$1.33,"$470,134,805","$1,436,750,803"
51,EOS,EOS,"Mar 02, 2023",$1.24,$1.17,$1.21,$1.24,"$227,123,595","$1,339,526,494"
52,EOS,EOS,"Mar 01, 2023",$1.21,$1.14,$1.15,$1.21,"$168,920,314","$1,307,417,414"
53,EOS,EOS,"Feb 28, 2023",$1.20,$1.13,$1.13,$1.15,"$235,358,313","$1,241,243,184"
