SNo,Name,Symbol,Date,High,Low,Open,Close,Volume,Marketcap
1,Ethereum,ETH,"Apr 21, 2023","$1,955.65","$1,827.79","$1,943.41","$1,850.00","$12,044,274,581","$222,770,468,531"
2,Ethereum,ETH,"Apr 20, 2023","$1,979.57","$1,918.13","$1,936.42","$1,943.10","$11,324,135,406","$234,005,095,167"
3,Ethereum,ETH,"Apr 19, 2023","$2,104.86","$1,928.58","$2,103.95","$1,936.40","$13,779,745,451","$231,098,233,851"
4,Ethereum,ETH,"Apr 18, 2023","$2,121.53","$2,057.65","$2,075.86","$2,104.54","$9,134,015,143","$251,214,922,677"
5,Ethereum,ETH,"Apr 17, 2023","$2,120.11","$2,063.04","$2,120.00","$2,076.24","$9,648,882,546","$247,975,491,589"
6,Ethereum,ETH,"Apr 16, 2023","$2,137.45","$2,076.83","$2,092.28","$2,120.01","$7,898,126,856","$253,800,479,048"
7,Ethereum,ETH,"Apr 15, 2023","$2,111.08","$2,076.51","$2,101.62","$2,092.47","$8,036,468,153","$251,325,536,962"
8,Ethereum,ETH,"Apr 14, 2023","$2,126.32","$2,011.50","$2,013.93","$2,101.64","$16,298,099,411","$252,646,950,003"
9,Ethereum,ETH,"Apr 13, 2023","$2,022.15","$1,901.86","$1,917.70","$2,012.63","$12,546,950,499","$242,437,493,117"
10,Ethereum,ETH,"Apr 12, 2023","$1,929.88","$1,860.04","$1,891.95","$1,920.68","$11,010,714,187","$231,361,104,948"
11,Ethereum,ETH,"Apr 11, 2023","$1,936.73","$1,886.53","$1,911.38","$1,892.19","$8,877,222,956","$227,928,964,949"
12,Ethereum,ETH,"Apr 10, 2023","$1,917.30","$1,848.16","$1,859.74","$1,911.21","$8,380,134,275","$230,219,806,238"
13,Ethereum,ETH,"Apr 09, 2023","$1,873.06","$1,828.70","$1,849.67","$1,859.39","$6,361,497,715","$223,977,715,591"
14,Ethereum,ETH,"Apr 08, 2023","$1,879.11","$1,848.88","$1,864.68","$1,849.50","$5,016,362,733","$222,786,437,114"
15,Ethereum,ETH,"Apr 07, 2023","$1,882.30","$1,845.99","$1,872.73","$1,865.64","$8,356,130,492","$224,730,370,764"
16,Ethereum,ETH,"Apr 06, 2023","$1,909.27","$1,857.09","$1,909.14","$1,872.92","$8,263,191,830","$225,608,098,485"
17,Ethereum,ETH,"Apr 05, 2023","$1,937.50","$1,865.94","$1,870.97","$1,909.11","$10,319,231,689","$229,967,634,147"
18,Ethereum,ETH,"Apr 04, 2023","$1,886.59","$1,802.96","$1,810.14","$1,871.01","$10,398,322,335","$225,377,122,390"
19,Ethereum,ETH,"Apr 03, 2023","$1,839.16","$1,765.52","$1,794.92","$1,810.30","$9,643,826,401","$218,064,367,255"
20,Ethereum,ETH,"Apr 02, 2023","$1,824.33","$1,774.87","$1,821.19","$1,795.71","$6,199,721,188","$216,307,003,101"
21,Ethereum,ETH,"Apr 01, 2023","$1,840.17","$1,811.12","$1,821.70","$1,813.86","$5,556,443,606","$218,493,608,915"
22,Ethereum,ETH,"Mar 31, 2023","$1,844.68","$1,783.14","$1,793.62","$1,822.02","$9,149,379,763","$219,476,732,220"
23,Ethereum,ETH,"Mar 30, 2023","$1,827.28","$1,766.25","$1,793.35","$1,792.74","$9,724,496,987","$219,384,174,417"
24,Ethereum,ETH,"Mar 29, 2023","$1,825.60","$1,772.90","$1,772.90","$1,793.00","$9,136,176,952","$219,416,572,784"
25,Ethereum,ETH,"Mar 28, 2023","$1,791.11","$1,702.56","$1,715.33","$1,772.79","$8,346,890,042","$216,942,634,875"
26,Ethereum,ETH,"Mar 27, 2023","$1,781.38","$1,690.52","$1,775.48","$1,715.46","$8,585,750,760","$209,927,572,136"
