SNo,Name,Symbol,Date,High,Low,Open,Close,Volume,Marketcap
1,Filecoin,FIL,"Apr 21, 2023",$5.63,$5.15,$5.56,$5.26,"$215,437,530","$2,206,921,224"
2,Filecoin,FIL,"Apr 20, 2023",$5.80,$5.48,$5.70,$5.56,"$227,233,578","$2,332,969,946"
3,Filecoin,FIL,"Apr 19, 2023",$6.29,$5.63,$6.26,$5.71,"$320,642,192","$2,393,109,924"
4,Filecoin,FIL,"Apr 18, 2023",$6.30,$6.05,$6.12,$6.26,"$181,718,866","$2,627,070,435"
5,Filecoin,FIL,"Apr 17, 2023",$6.36,$6.05,$6.34,$6.12,"$210,632,646","$2,555,828,366"
6,Filecoin,FIL,"Apr 16, 2023",$6.38,$6.23,$6.31,$6.34,"$185,186,590","$2,648,843,240"
7,Filecoin,FIL,"Apr 15, 2023",$6.43,$6.10,$6.23,$6.31,"$242,783,805","$2,634,676,000"
8,Filecoin,FIL,"Apr 14, 2023",$6.31,$5.97,$6.08,$6.23,"$299,527,287","$2,599,525,835"
9,Filecoin,FIL,"Apr 13, 2023",$6.12,$5.92,$5.96,$6.08,"$168,415,873","$2,523,185,190"
10,Filecoin,FIL,"Apr 12, 2023",$6.12,$5.83,$6.12,$5.96,"$239,438,718","$2,471,192,449"
11,Filecoin,FIL,"Apr 11, 2023",$6.18,$5.98,$6.18,$6.12,"$247,680,990","$2,532,680,863"
12,Filecoin,FIL,"Apr 10, 2023",$6.23,$5.68,$5.75,$6.18,"$234,404,581","$2,555,824,965"
13,Filecoin,FIL,"Apr 09, 2023",$5.88,$5.64,$5.77,$5.75,"$161,933,743","$2,378,397,882"
14,Filecoin,FIL,"Apr 08, 2023",$5.90,$5.75,$5.79,$5.77,"$186,859,831","$2,387,865,133"
15,Filecoin,FIL,"Apr 07, 2023",$6.00,$5.52,$5.60,$5.79,"$267,104,447","$2,394,643,199"
16,Filecoin,FIL,"Apr 06, 2023",$5.67,$5.54,$5.67,$5.60,"$119,287,599","$2,313,683,438"
17,Filecoin,FIL,"Apr 05, 2023",$5.78,$5.57,$5.62,$5.67,"$193,144,520","$2,339,913,971"
18,Filecoin,FIL,"Apr 04, 2023",$5.66,$5.52,$5.57,$5.62,"$142,392,010","$2,314,783,516"
19,Filecoin,FIL,"Apr 03, 2023",$5.67,$5.37,$5.56,$5.58,"$187,868,479","$2,295,741,190"
20,Filecoin,FIL,"Apr 02, 2023",$5.79,$5.47,$5.76,$5.56,"$140,055,643","$2,287,107,918"
21,Filecoin,FIL,"Apr 01, 2023",$5.80,$5.61,$5.69,$5.76,"$163,645,882","$2,369,498,072"
22,Filecoin,FIL,"Mar 31, 2023",$5.73,$5.47,$5.56,$5.69,"$176,655,531","$2,340,214,748"
23,Filecoin,FIL,"Mar 30, 2023",$5.88,$5.45,$5.74,$5.56,"$208,058,870","$2,281,294,790"
24,Filecoin,FIL,"Mar 29, 2023",$5.82,$5.55,$5.56,$5.74,"$200,379,427","$2,357,682,797"
25,Filecoin,FIL,"Mar 28, 2023",$5.61,$5.28,$5.35,$5.57,"$151,268,844","$2,283,821,862"
26,Filecoin,FIL,"Mar 27, 2023",$5.70,$5.22,$5.69,$5.35,"$178,004,566","$2,196,170,788"
27,Filecoin,FIL,"Mar 26, 2023",$5.74,$5.37,$5.38,$5.69,"$136,969,349","$2,334,251,582"
28,Filecoin,FIL,"Mar 25, 2023",$5.62,$5.29,$5.56,$5.38,"$154,721,900","$2,204,653,894"
29,Filecoin,FIL,"Mar 24, 2023",$6.04,$5.47,$5.93,$5.56,"$286,734,737","$2,276,360,408"
30,Filecoin,FIL,"Mar 23, 2023",$5.97,$5.63,$5.66,$5.93,"$224,058,911","$2,430,349,840"
31,Filecoin,FIL,"Mar 22, 2023",$5.95,$5.40,$5.95,$5.66,"$383,689,372","$2,307,781,095"
32,Filecoin,FIL,"Mar 21, 2023",$6.07,$5.66,$5.72,$5.95,"$299,331,024","$2,423,015,055"
33,Filecoin,FIL,"Mar 20, 2023",$6.42,$5.71,$6.29,$5.72,"$389,460,821","$2,328,218,265"
34,Filecoin,FIL,"Mar 19, 2023",$6.48,$5.88,$5.88,$6.29,"$317,162,931","$2,559,063,435"
35,Filecoin,FIL,"Mar 18, 2023",$6.52,$5.85,$6.40,$5.88,"$447,599,885","$2,390,927,221"
36,Filecoin,FIL,"Mar 17, 2023",$6.47,$5.72,$5.83,$6.40,"$495,250,545","$2,600,515,970"
37,Filecoin,FIL,"Mar 16, 2023",$5.92,$5.56,$5.62,$5.83,"$468,984,231","$2,368,330,842"
38,Filecoin,FIL,"Mar 15, 2023",$7.04,$5.40,$6.77,$5.62,"$846,272,392","$2,277,204,897"
39,Filecoin,FIL,"Mar 14, 2023",$7.56,$6.19,$6.40,$6.76,"$947,671,471","$2,728,957,735"
40,Filecoin,FIL,"Mar 13, 2023",$6.58,$5.73,$5.73,$6.40,"$924,057,177","$2,580,183,578"
41,Filecoin,FIL,"Mar 12, 2023",$5.75,$4.89,$4.99,$5.73,"$366,219,384","$2,309,760,636"
42,Filecoin,FIL,"Mar 11, 2023",$5.49,$4.72,$5.32,$4.99,"$483,679,523","$2,000,389,404"
43,Filecoin,FIL,"Mar 10, 2023",$5.52,$5.12,$5.50,$5.31,"$413,024,968","$2,213,202,153"
44,Filecoin,FIL,"Mar 09, 2023",$6.18,$5.31,$5.78,$5.49,"$490,636,952","$2,190,575,256"
45,Filecoin,FIL,"Mar 08, 2023",$6.09,$5.61,$5.97,$5.78,"$300,000,368","$2,292,854,867"
