SNo,Name,Symbol,Date,High,Low,Open,Close,Volume,Marketcap
1,Huobi Token,HT,"Apr 21, 2023",$3.68,$3.57,$3.65,$3.59,"$7,479,878","$582,134,159"
2,Huobi Token,HT,"Apr 20, 2023",$3.71,$3.61,$3.69,$3.65,"$9,043,700","$591,778,785"
3,Huobi Token,HT,"Apr 19, 2023",$3.91,$3.66,$3.85,$3.69,"$11,265,939","$598,224,341"
4,Huobi Token,HT,"Apr 18, 2023",$3.96,$3.83,$3.92,$3.85,"$8,769,966","$624,863,445"
5,Huobi Token,HT,"Apr 17, 2023",$4.01,$3.89,$4.00,$3.92,"$7,949,757","$635,457,227"
6,Huobi Token,HT,"Apr 16, 2023",$4.02,$3.90,$3.94,$4.00,"$7,413,370","$649,542,777"
7,Huobi Token,HT,"Apr 15, 2023",$3.95,$3.88,$3.89,$3.94,"$6,935,059","$638,962,814"
8,Huobi Token,HT,"Apr 14, 2023",$4.07,$3.79,$3.83,$3.89,"$14,576,828","$631,470,697"
9,Huobi Token,HT,"Apr 13, 2023",$3.86,$3.72,$3.76,$3.83,"$11,699,942","$621,646,518"
10,Huobi Token,HT,"Apr 12, 2023",$3.89,$3.63,$3.74,$3.76,"$20,478,936","$609,490,297"
11,Huobi Token,HT,"Apr 11, 2023",$3.78,$3.60,$3.68,$3.74,"$16,111,228","$606,545,135"
12,Huobi Token,HT,"Apr 10, 2023",$3.69,$3.58,$3.58,$3.68,"$11,311,674","$596,370,944"
13,Huobi Token,HT,"Apr 09, 2023",$3.60,$3.57,$3.58,$3.58,"$11,787,240","$580,820,310"
14,Huobi Token,HT,"Apr 08, 2023",$3.60,$3.57,$3.58,$3.58,"$11,231,130","$581,064,979"
15,Huobi Token,HT,"Apr 07, 2023",$3.60,$3.58,$3.59,$3.58,"$10,908,792","$581,120,785"
16,Huobi Token,HT,"Apr 06, 2023",$3.62,$3.57,$3.61,$3.59,"$11,967,767","$581,715,951"
17,Huobi Token,HT,"Apr 05, 2023",$3.65,$3.60,$3.62,$3.61,"$8,926,077","$585,151,519"
18,Huobi Token,HT,"Apr 04, 2023",$3.63,$3.58,$3.62,$3.62,"$6,515,727","$586,766,670"
19,Huobi Token,HT,"Apr 03, 2023",$3.68,$3.58,$3.67,$3.62,"$7,681,324","$587,459,506"
20,Huobi Token,HT,"Apr 02, 2023",$3.68,$3.64,$3.65,$3.67,"$5,779,529","$594,964,258"
21,Huobi Token,HT,"Apr 01, 2023",$3.67,$3.61,$3.65,$3.66,"$6,319,976","$592,986,801"
