SNo,Name,Symbol,Date,High,Low,Open,Close,Volume,Marketcap
1,Chainlink,LINK,"Apr 21, 2023",$7.58,$7.04,$7.52,$7.12,"$340,540,634","$3,680,536,673"
2,Chainlink,LINK,"Apr 20, 2023",$7.95,$7.49,$7.77,$7.52,"$392,775,059","$3,887,946,070"
3,Chainlink,LINK,"Apr 19, 2023",$8.58,$7.72,$8.58,$7.77,"$543,475,883","$4,018,052,746"
4,Chainlink,LINK,"Apr 18, 2023",$8.73,$8.06,$8.17,$8.58,"$512,634,725","$4,434,855,700"
5,Chainlink,LINK,"Apr 17, 2023",$8.27,$7.92,$8.14,$8.16,"$460,381,261","$4,221,771,307"
6,Chainlink,LINK,"Apr 16, 2023",$8.16,$7.93,$8.01,$8.14,"$284,062,027","$4,207,589,377"
7,Chainlink,LINK,"Apr 15, 2023",$8.05,$7.64,$7.75,$8.01,"$303,168,438","$4,143,670,480"
8,Chainlink,LINK,"Apr 14, 2023",$7.88,$7.47,$7.47,$7.75,"$416,438,491","$4,008,743,621"
9,Chainlink,LINK,"Apr 13, 2023",$7.52,$7.19,$7.23,$7.46,"$227,523,492","$3,859,925,064"
10,Chainlink,LINK,"Apr 12, 2023",$7.36,$7.13,$7.31,$7.25,"$195,602,304","$3,749,223,505"
11,Chainlink,LINK,"Apr 11, 2023",$7.44,$7.30,$7.35,$7.31,"$188,835,268","$3,781,955,396"
12,Chainlink,LINK,"Apr 10, 2023",$7.36,$7.15,$7.21,$7.34,"$169,897,201","$3,797,926,156"
13,Chainlink,LINK,"Apr 09, 2023",$7.25,$7.08,$7.14,$7.21,"$114,928,203","$3,729,373,009"
14,Chainlink,LINK,"Apr 08, 2023",$7.29,$7.10,$7.28,$7.14,"$114,126,743","$3,690,822,882"
15,Chainlink,LINK,"Apr 07, 2023",$7.29,$7.12,$7.20,$7.28,"$134,349,449","$3,763,164,623"
16,Chainlink,LINK,"Apr 06, 2023",$7.33,$7.14,$7.33,$7.20,"$194,248,285","$3,723,121,595"
17,Chainlink,LINK,"Apr 05, 2023",$7.60,$7.26,$7.38,$7.33,"$290,799,350","$3,787,882,547"
18,Chainlink,LINK,"Apr 04, 2023",$7.47,$7.22,$7.24,$7.38,"$248,607,211","$3,815,689,583"
19,Chainlink,LINK,"Apr 03, 2023",$7.43,$7.07,$7.26,$7.24,"$295,585,843","$3,743,466,913"
20,Chainlink,LINK,"Apr 02, 2023",$7.55,$7.22,$7.55,$7.26,"$188,792,643","$3,753,780,655"
21,Chainlink,LINK,"Apr 01, 2023",$7.63,$7.46,$7.60,$7.47,"$183,579,045","$3,865,054,195"
22,Chainlink,LINK,"Mar 31, 2023",$7.66,$7.23,$7.23,$7.59,"$340,384,822","$3,927,151,161"
23,Chainlink,LINK,"Mar 30, 2023",$7.53,$7.17,$7.38,$7.23,"$279,488,316","$3,740,033,981"
24,Chainlink,LINK,"Mar 29, 2023",$7.46,$6.94,$6.95,$7.38,"$297,994,491","$3,817,502,477"
25,Chainlink,LINK,"Mar 28, 2023",$7.02,$6.77,$6.87,$6.96,"$211,056,975","$3,596,603,033"
26,Chainlink,LINK,"Mar 27, 2023",$7.27,$6.80,$7.26,$6.87,"$230,593,321","$3,553,900,546"
27,Chainlink,LINK,"Mar 26, 2023",$7.28,$7.07,$7.09,$7.26,"$165,218,457","$3,755,237,496"
28,Chainlink,LINK,"Mar 25, 2023",$7.25,$6.99,$7.21,$7.08,"$193,197,164","$3,663,564,084"
29,Chainlink,LINK,"Mar 24, 2023",$7.65,$7.15,$7.62,$7.21,"$295,497,990","$3,726,683,502"
30,Chainlink,LINK,"Mar 23, 2023",$7.63,$7.12,$7.18,$7.62,"$329,204,523","$3,940,977,495"
31,Chainlink,LINK,"Mar 22, 2023",$7.70,$7.07,$7.41,$7.18,"$586,895,392","$3,712,934,832"
32,Chainlink,LINK,"Mar 21, 2023",$7.43,$6.90,$7.06,$7.41,"$366,308,905","$3,830,457,171"
33,Chainlink,LINK,"Mar 20, 2023",$7.41,$6.99,$7.10,$7.06,"$489,903,739","$3,649,558,739"
34,Chainlink,LINK,"Mar 19, 2023",$7.29,$6.93,$6.93,$7.10,"$249,180,738","$3,672,773,154"
35,Chainlink,LINK,"Mar 18, 2023",$7.30,$6.92,$7.23,$6.93,"$314,031,396","$3,585,350,794"
36,Chainlink,LINK,"Mar 17, 2023",$7.26,$6.63,$6.67,$7.23,"$375,125,654","$3,736,240,711"
37,Chainlink,LINK,"Mar 16, 2023",$6.69,$6.50,$6.55,$6.67,"$226,614,246","$3,451,391,103"
38,Chainlink,LINK,"Mar 15, 2023",$7.12,$6.44,$6.98,$6.55,"$395,492,432","$3,387,564,043"
39,Chainlink,LINK,"Mar 14, 2023",$7.20,$6.66,$6.78,$6.98,"$465,219,170","$3,607,261,475"
40,Chainlink,LINK,"Mar 13, 2023",$6.90,$6.43,$6.59,$6.78,"$398,871,384","$3,504,065,213"
41,Chainlink,LINK,"Mar 12, 2023",$6.59,$6.13,$6.21,$6.59,"$266,096,727","$3,407,677,418"
42,Chainlink,LINK,"Mar 11, 2023",$6.39,$6.00,$6.22,$6.21,"$335,637,067","$3,210,146,429"
43,Chainlink,LINK,"Mar 10, 2023",$6.26,$5.95,$6.16,$6.23,"$336,133,866","$3,218,970,669"
44,Chainlink,LINK,"Mar 09, 2023",$6.68,$6.06,$6.58,$6.16,"$314,151,909","$3,184,660,780"
45,Chainlink,LINK,"Mar 08, 2023",$6.92,$6.55,$6.87,$6.58,"$302,742,595","$3,404,803,221"
46,Chainlink,LINK,"Mar 07, 2023",$6.97,$6.70,$6.86,$6.87,"$256,141,888","$3,553,211,413"
47,Chainlink,LINK,"Mar 06, 2023",$6.97,$6.84,$6.94,$6.86,"$222,624,936","$3,548,443,250"
48,Chainlink,LINK,"Mar 05, 2023",$7.00,$6.82,$6.85,$6.94,"$191,609,356","$3,590,859,733"
49,Chainlink,LINK,"Mar 04, 2023",$7.00,$6.74,$6.95,$6.85,"$216,105,874","$3,543,400,245"
50,Chainlink,LINK,"Mar 03, 2023",$7.27,$6.75,$7.27,$6.95,"$346,250,431","$3,572,333,584"
51,Chainlink,LINK,"Mar 02, 2023",$7.56,$7.19,$7.53,$7.27,"$268,246,764","$3,692,016,704"
52,Chainlink,LINK,"Mar 01, 2023",$7.53,$7.17,$7.19,$7.53,"$297,633,777","$3,824,612,737"
53,Chainlink,LINK,"Feb 28, 2023",$7.41,$7.14,$7.28,$7.19,"$304,916,168","$3,653,889,384"
54,Chainlink,LINK,"Feb 27, 2023",$7.50,$7.17,$7.49,$7.28,"$298,939,373","$3,697,777,738"
55,Chainlink,LINK,"Feb 26, 2023",$7.53,$7.32,$7.38,$7.49,"$235,447,983","$3,805,865,325"
56,Chainlink,LINK,"Feb 25, 2023",$7.47,$7.21,$7.46,$7.38,"$311,632,712","$3,747,329,939"
57,Chainlink,LINK,"Feb 24, 2023",$8.11,$7.33,$7.94,$7.46,"$526,136,614","$3,787,482,805"
58,Chainlink,LINK,"Feb 23, 2023",$8.16,$7.68,$7.71,$7.94,"$637,551,320","$4,031,788,157"
59,Chainlink,LINK,"Feb 22, 2023",$7.71,$7.33,$7.64,$7.71,"$453,992,830","$3,915,825,660"
60,Chainlink,LINK,"Feb 21, 2023",$8.06,$7.55,$8.01,$7.64,"$407,354,867","$3,879,430,366"
61,Chainlink,LINK,"Feb 20, 2023",$8.34,$7.81,$8.00,$8.01,"$541,991,760","$4,067,274,356"
