SNo,Name,Symbol,Date,High,Low,Open,Close,Volume,Marketcap
1,Litecoin,LTC,"Apr 21, 2023",$90.67,$84.90,$90.24,$85.52,"$662,381,963","$6,221,964,233"
2,Litecoin,LTC,"Apr 20, 2023",$91.88,$87.58,$90.44,$90.24,"$747,749,560","$6,564,838,245"
3,Litecoin,LTC,"Apr 19, 2023",$101.86,$89.47,$101.85,$90.44,"$935,252,615","$6,578,828,426"
4,Litecoin,LTC,"Apr 18, 2023",$103.05,$98.16,$98.70,$101.85,"$711,227,682","$7,408,161,907"
5,Litecoin,LTC,"Apr 17, 2023",$100.30,$97.98,$100.26,$98.67,"$687,145,902","$7,176,379,023"
6,Litecoin,LTC,"Apr 16, 2023",$101.86,$95.65,$96.86,$100.27,"$768,844,226","$7,291,430,030"
7,Litecoin,LTC,"Apr 15, 2023",$97.24,$95.18,$96.45,$96.87,"$403,922,763","$7,043,573,473"
8,Litecoin,LTC,"Apr 14, 2023",$98.81,$94.00,$94.27,$96.45,"$856,817,465","$7,012,595,336"
9,Litecoin,LTC,"Apr 13, 2023",$94.54,$91.93,$92.14,$94.26,"$494,346,656","$6,852,545,542"
10,Litecoin,LTC,"Apr 12, 2023",$94.68,$91.25,$94.31,$92.50,"$501,836,456","$6,724,472,128"
11,Litecoin,LTC,"Apr 11, 2023",$96.89,$93.38,$93.83,$94.31,"$640,151,185","$6,855,083,955"
12,Litecoin,LTC,"Apr 10, 2023",$94.20,$90.03,$90.68,$93.82,"$525,494,733","$6,818,689,026"
13,Litecoin,LTC,"Apr 09, 2023",$90.98,$89.39,$89.98,$90.68,"$313,065,579","$6,589,491,078"
14,Litecoin,LTC,"Apr 08, 2023",$91.30,$89.63,$90.63,$89.98,"$321,874,464","$6,537,859,854"
15,Litecoin,LTC,"Apr 07, 2023",$91.39,$89.56,$90.93,$90.64,"$409,439,989","$6,585,369,986"
16,Litecoin,LTC,"Apr 06, 2023",$92.65,$90.22,$92.62,$90.93,"$401,237,969","$6,605,831,645"
17,Litecoin,LTC,"Apr 05, 2023",$94.87,$91.72,$92.60,$92.62,"$574,810,382","$6,728,127,603"
18,Litecoin,LTC,"Apr 04, 2023",$93.92,$91.80,$93.03,$92.60,"$455,068,842","$6,725,874,612"
