SNo,Name,Symbol,Date,High,Low,Open,Close,Volume,Marketcap
1,Maker,MKR,"Apr 21, 2023",$723.10,$673.78,$715.67,$676.99,"$33,473,839","$661,847,820"
2,Maker,MKR,"Apr 20, 2023",$737.24,$705.14,$723.89,$715.74,"$51,309,817","$699,726,003"
3,Maker,MKR,"Apr 19, 2023",$789.61,$715.57,$789.61,$724.12,"$51,339,251","$707,924,866"
4,Maker,MKR,"Apr 18, 2023",$802.94,$771.98,$780.58,$789.74,"$35,213,845","$772,078,023"
5,Maker,MKR,"Apr 17, 2023",$814.76,$778.14,$801.09,$780.46,"$46,373,714","$762,997,941"
6,Maker,MKR,"Apr 16, 2023",$801.24,$768.44,$778.41,$801.08,"$46,222,072","$783,159,186"
7,Maker,MKR,"Apr 15, 2023",$784.55,$763.82,$773.70,$778.46,"$46,751,937","$761,042,943"
8,Maker,MKR,"Apr 14, 2023",$785.61,$752.61,$753.86,$773.72,"$65,416,242","$756,417,379"
9,Maker,MKR,"Apr 13, 2023",$754.00,$722.47,$725.81,$753.84,"$45,034,984","$736,980,173"
10,Maker,MKR,"Apr 12, 2023",$729.08,$695.25,$726.49,$726.70,"$41,113,374","$710,443,714"
11,Maker,MKR,"Apr 11, 2023",$730.13,$714.95,$725.89,$726.48,"$48,237,131","$710,229,630"
12,Maker,MKR,"Apr 10, 2023",$728.26,$697.91,$706.48,$725.88,"$46,280,293","$709,638,774"
13,Maker,MKR,"Apr 09, 2023",$710.14,$685.80,$688.69,$706.52,"$32,404,440","$690,718,778"
14,Maker,MKR,"Apr 08, 2023",$696.73,$685.14,$696.07,$688.74,"$41,962,062","$673,337,971"
15,Maker,MKR,"Apr 07, 2023",$720.14,$689.52,$719.42,$696.16,"$42,480,712","$680,583,507"
16,Maker,MKR,"Apr 06, 2023",$733.08,$683.26,$692.96,$719.43,"$96,268,687","$703,333,568"
17,Maker,MKR,"Apr 05, 2023",$696.51,$673.58,$680.58,$692.92,"$43,259,563","$677,420,238"
18,Maker,MKR,"Apr 04, 2023",$682.86,$670.54,$673.43,$680.56,"$32,190,184","$665,339,987"
19,Maker,MKR,"Apr 03, 2023",$684.95,$657.79,$673.50,$673.52,"$47,137,039","$658,452,516"
20,Maker,MKR,"Apr 02, 2023",$695.38,$666.57,$690.98,$673.48,"$30,392,710","$658,416,728"
21,Maker,MKR,"Apr 01, 2023",$695.08,$682.76,$686.87,$686.93,"$35,034,932","$671,567,699"
22,Maker,MKR,"Mar 31, 2023",$693.71,$668.14,$675.80,$686.90,"$41,515,986","$671,536,985"
23,Maker,MKR,"Mar 30, 2023",$697.97,$664.69,$691.88,$675.66,"$52,697,410","$660,546,202"
24,Maker,MKR,"Mar 29, 2023",$704.60,$672.60,$675.67,$691.73,"$60,473,166","$676,257,419"
25,Maker,MKR,"Mar 28, 2023",$690.09,$669.02,$675.94,$675.68,"$53,090,728","$660,569,379"
26,Maker,MKR,"Mar 27, 2023",$680.19,$632.82,$671.23,$675.91,"$52,392,699","$660,792,646"
27,Maker,MKR,"Mar 26, 2023",$683.32,$663.03,$666.78,$671.65,"$35,664,996","$656,626,676"
28,Maker,MKR,"Mar 25, 2023",$683.57,$656.06,$672.57,$666.78,"$39,123,806","$651,869,583"
