SNo,Name,Symbol,Date,High,Low,Open,Close,Volume,Marketcap
1,Neo,NEO,"Apr 21, 2023",$11.81,$10.83,$11.75,$11.00,"$41,722,413","$776,131,288"
2,Neo,NEO,"Apr 20, 2023",$12.10,$11.60,$11.82,$11.75,"$55,790,283","$829,163,146"
3,Neo,NEO,"Apr 19, 2023",$13.05,$11.71,$13.05,$11.82,"$72,121,321","$833,890,323"
4,Neo,NEO,"Apr 18, 2023",$13.21,$12.74,$12.94,$13.05,"$45,106,566","$920,767,807"
5,Neo,NEO,"Apr 17, 2023",$13.69,$12.87,$13.58,$12.93,"$72,205,840","$912,394,722"
6,Neo,NEO,"Apr 16, 2023",$14.16,$12.78,$12.98,$13.58,"$178,932,999","$957,726,557"
7,Neo,NEO,"Apr 15, 2023",$13.09,$12.73,$12.95,$12.98,"$40,607,680","$915,645,133"
8,Neo,NEO,"Apr 14, 2023",$13.06,$12.44,$12.47,$12.95,"$59,737,946","$913,650,882"
9,Neo,NEO,"Apr 13, 2023",$12.47,$12.09,$12.20,$12.47,"$33,383,402","$879,741,274"
10,Neo,NEO,"Apr 12, 2023",$12.56,$12.01,$12.52,$12.16,"$36,468,940","$857,814,470"
11,Neo,NEO,"Apr 11, 2023",$12.88,$12.36,$12.45,$12.52,"$51,445,590","$883,482,324"
12,Neo,NEO,"Apr 10, 2023",$12.51,$12.02,$12.22,$12.45,"$40,289,794","$878,170,786"
13,Neo,NEO,"Apr 09, 2023",$12.43,$12.00,$12.28,$12.22,"$35,192,122","$862,097,952"
14,Neo,NEO,"Apr 08, 2023",$12.58,$12.17,$12.17,$12.28,"$46,259,586","$865,887,546"
15,Neo,NEO,"Apr 07, 2023",$12.43,$11.93,$12.39,$12.18,"$42,036,988","$858,867,435"
16,Neo,NEO,"Apr 06, 2023",$12.91,$11.77,$12.04,$12.39,"$141,646,301","$873,871,555"
17,Neo,NEO,"Apr 05, 2023",$12.19,$11.77,$12.02,$12.04,"$45,045,456","$849,422,179"
18,Neo,NEO,"Apr 04, 2023",$12.09,$11.79,$11.98,$12.03,"$33,675,572","$848,260,734"
19,Neo,NEO,"Apr 03, 2023",$12.25,$11.67,$12.11,$11.98,"$48,278,818","$844,933,463"
20,Neo,NEO,"Apr 02, 2023",$12.56,$11.92,$12.44,$12.11,"$40,409,500","$853,988,142"
21,Neo,NEO,"Apr 01, 2023",$12.63,$12.19,$12.61,$12.31,"$42,037,648","$868,493,559"
22,Neo,NEO,"Mar 31, 2023",$12.65,$12.06,$12.52,$12.61,"$56,845,806","$889,503,893"
23,Neo,NEO,"Mar 30, 2023",$13.23,$12.34,$13.23,$12.52,"$64,622,714","$883,233,596"
24,Neo,NEO,"Mar 29, 2023",$13.26,$12.54,$12.72,$13.23,"$80,197,561","$933,346,825"
25,Neo,NEO,"Mar 28, 2023",$12.81,$12.03,$12.58,$12.72,"$83,280,485","$897,517,462"
26,Neo,NEO,"Mar 27, 2023",$12.93,$11.95,$12.33,$12.58,"$128,722,251","$887,234,350"
27,Neo,NEO,"Mar 26, 2023",$12.37,$11.86,$12.06,$12.33,"$40,936,618","$869,897,153"
28,Neo,NEO,"Mar 25, 2023",$12.44,$11.79,$12.39,$12.05,"$45,695,975","$850,297,987"
29,Neo,NEO,"Mar 24, 2023",$13.43,$12.19,$12.58,$12.39,"$123,795,159","$873,796,069"
30,Neo,NEO,"Mar 23, 2023",$12.61,$11.64,$11.64,$12.58,"$83,631,665","$887,430,057"
31,Neo,NEO,"Mar 22, 2023",$12.48,$11.29,$12.48,$11.64,"$62,527,062","$821,261,721"
32,Neo,NEO,"Mar 21, 2023",$12.60,$11.93,$12.29,$12.48,"$82,196,863","$880,217,635"
33,Neo,NEO,"Mar 20, 2023",$13.71,$12.28,$13.41,$12.29,"$133,467,631","$867,188,243"
34,Neo,NEO,"Mar 19, 2023",$13.51,$11.76,$11.83,$13.42,"$226,921,006","$946,668,131"
35,Neo,NEO,"Mar 18, 2023",$12.99,$11.77,$12.62,$11.83,"$115,117,314","$834,555,222"
36,Neo,NEO,"Mar 17, 2023",$12.62,$10.88,$10.89,$12.62,"$156,634,309","$889,957,428"
37,Neo,NEO,"Mar 16, 2023",$10.92,$10.31,$10.45,$10.89,"$57,982,660","$768,028,006"
38,Neo,NEO,"Mar 15, 2023",$11.87,$10.33,$11.55,$10.44,"$80,382,521","$736,463,919"
39,Neo,NEO,"Mar 14, 2023",$12.16,$10.77,$11.10,$11.55,"$93,888,334","$814,701,780"
40,Neo,NEO,"Mar 13, 2023",$11.23,$10.16,$10.33,$11.10,"$105,791,616","$782,886,024"
41,Neo,NEO,"Mar 12, 2023",$10.36,$9.30,$9.59,$10.33,"$49,452,321","$728,488,315"
42,Neo,NEO,"Mar 11, 2023",$10.08,$9.25,$9.84,$9.59,"$46,298,363","$676,809,908"
43,Neo,NEO,"Mar 10, 2023",$9.91,$9.21,$9.90,$9.84,"$62,549,801","$693,831,677"
44,Neo,NEO,"Mar 09, 2023",$10.96,$9.77,$10.51,$9.90,"$63,397,502","$698,314,382"
45,Neo,NEO,"Mar 08, 2023",$11.57,$10.43,$11.57,$10.51,"$58,173,073","$741,611,416"
46,Neo,NEO,"Mar 07, 2023",$12.38,$11.31,$11.79,$11.57,"$81,130,596","$816,261,354"
47,Neo,NEO,"Mar 06, 2023",$12.07,$11.57,$12.07,$11.79,"$50,736,796","$831,679,191"
48,Neo,NEO,"Mar 05, 2023",$12.45,$11.80,$11.96,$12.07,"$78,751,224","$851,174,530"
49,Neo,NEO,"Mar 04, 2023",$12.38,$11.63,$11.63,$11.96,"$124,626,174","$843,536,861"
50,Neo,NEO,"Mar 03, 2023",$12.44,$11.19,$12.33,$11.63,"$67,285,536","$820,507,121"
51,Neo,NEO,"Mar 02, 2023",$12.80,$11.99,$12.80,$12.33,"$63,864,192","$869,629,415"
52,Neo,NEO,"Mar 01, 2023",$13.17,$11.96,$11.99,$12.80,"$123,229,963","$902,778,511"
53,Neo,NEO,"Feb 28, 2023",$13.22,$11.99,$13.22,$11.99,"$87,690,094","$845,885,009"
54,Neo,NEO,"Feb 27, 2023",$13.77,$12.45,$12.50,$13.22,"$292,114,046","$932,253,742"
55,Neo,NEO,"Feb 26, 2023",$12.72,$11.26,$11.39,$12.50,"$170,973,956","$881,977,124"
56,Neo,NEO,"Feb 25, 2023",$12.06,$11.12,$11.64,$11.39,"$90,350,577","$803,722,316"
57,Neo,NEO,"Feb 24, 2023",$12.80,$11.47,$12.80,$11.64,"$108,526,283","$821,009,410"
58,Neo,NEO,"Feb 23, 2023",$13.86,$12.73,$13.56,$12.80,"$111,790,804","$903,088,079"
59,Neo,NEO,"Feb 22, 2023",$14.19,$12.89,$13.39,$13.56,"$283,116,623","$956,318,667"
60,Neo,NEO,"Feb 21, 2023",$15.57,$13.25,$14.55,$13.39,"$528,608,366","$944,576,197"
61,Neo,NEO,"Feb 20, 2023",$14.70,$10.35,$10.41,$14.54,"$743,189,774","$1,025,417,450"
