SNo,Name,Symbol,Date,High,Low,Open,Close,Volume,Marketcap
1,Synthetix,SNX,"Apr 21, 2023",$2.73,$2.47,$2.70,$2.49,"$51,616,514","$643,502,096"
2,Synthetix,SNX,"Apr 20, 2023",$3.01,$2.67,$2.84,$2.70,"$97,943,563","$698,565,217"
3,Synthetix,SNX,"Apr 19, 2023",$3.08,$2.82,$3.02,$2.84,"$121,069,661","$732,829,728"
4,Synthetix,SNX,"Apr 18, 2023",$3.02,$2.72,$2.75,$3.02,"$94,222,416","$779,373,889"
5,Synthetix,SNX,"Apr 17, 2023",$2.84,$2.70,$2.84,$2.75,"$41,769,055","$710,033,374"
6,Synthetix,SNX,"Apr 16, 2023",$2.87,$2.70,$2.75,$2.84,"$50,692,868","$733,975,756"
7,Synthetix,SNX,"Apr 15, 2023",$2.83,$2.70,$2.74,$2.75,"$49,972,744","$710,436,454"
8,Synthetix,SNX,"Apr 14, 2023",$2.77,$2.63,$2.63,$2.74,"$68,781,294","$707,954,179"
9,Synthetix,SNX,"Apr 13, 2023",$2.66,$2.55,$2.58,$2.63,"$39,220,428","$679,978,907"
10,Synthetix,SNX,"Apr 12, 2023",$2.64,$2.53,$2.63,$2.58,"$41,373,871","$665,110,592"
11,Synthetix,SNX,"Apr 11, 2023",$2.73,$2.62,$2.70,$2.63,"$37,044,788","$679,111,457"
12,Synthetix,SNX,"Apr 10, 2023",$2.70,$2.59,$2.64,$2.70,"$32,663,150","$695,846,733"
13,Synthetix,SNX,"Apr 09, 2023",$2.67,$2.55,$2.63,$2.64,"$32,912,146","$680,678,459"
14,Synthetix,SNX,"Apr 08, 2023",$2.72,$2.60,$2.65,$2.63,"$24,943,717","$678,328,827"
15,Synthetix,SNX,"Apr 07, 2023",$2.70,$2.64,$2.68,$2.65,"$26,928,843","$683,285,318"
16,Synthetix,SNX,"Apr 06, 2023",$2.73,$2.65,$2.71,$2.68,"$35,166,998","$691,334,583"
17,Synthetix,SNX,"Apr 05, 2023",$2.87,$2.67,$2.76,$2.71,"$47,677,024","$699,786,260"
18,Synthetix,SNX,"Apr 04, 2023",$2.78,$2.54,$2.55,$2.76,"$61,561,184","$701,565,747"
19,Synthetix,SNX,"Apr 03, 2023",$2.69,$2.47,$2.56,$2.55,"$67,356,918","$647,995,956"
20,Synthetix,SNX,"Apr 02, 2023",$2.65,$2.52,$2.58,$2.56,"$48,220,633","$650,979,258"
21,Synthetix,SNX,"Apr 01, 2023",$2.58,$2.52,$2.56,$2.58,"$40,721,745","$654,952,775"
22,Synthetix,SNX,"Mar 31, 2023",$2.59,$2.38,$2.43,$2.56,"$50,022,653","$650,409,954"
23,Synthetix,SNX,"Mar 30, 2023",$2.58,$2.39,$2.57,$2.43,"$51,043,471","$616,842,389"
24,Synthetix,SNX,"Mar 29, 2023",$2.58,$2.39,$2.40,$2.57,"$61,576,759","$651,135,888"
25,Synthetix,SNX,"Mar 28, 2023",$2.42,$2.30,$2.35,$2.40,"$47,993,747","$607,881,932"
26,Synthetix,SNX,"Mar 27, 2023",$2.54,$2.30,$2.48,$2.35,"$65,472,208","$595,237,675"
27,Synthetix,SNX,"Mar 26, 2023",$2.50,$2.40,$2.41,$2.48,"$31,810,791","$628,336,405"
28,Synthetix,SNX,"Mar 25, 2023",$2.56,$2.38,$2.54,$2.41,"$43,002,211","$611,653,207"
29,Synthetix,SNX,"Mar 24, 2023",$2.75,$2.49,$2.71,$2.54,"$54,807,496","$644,048,119"
30,Synthetix,SNX,"Mar 23, 2023",$2.78,$2.64,$2.69,$2.71,"$59,809,096","$687,741,799"
31,Synthetix,SNX,"Mar 22, 2023",$2.88,$2.61,$2.87,$2.69,"$93,155,864","$682,114,757"
32,Synthetix,SNX,"Mar 21, 2023",$3.04,$2.81,$3.00,$2.87,"$116,807,238","$727,134,700"
33,Synthetix,SNX,"Mar 20, 2023",$3.19,$2.84,$2.89,$2.99,"$246,779,385","$759,447,552"
34,Synthetix,SNX,"Mar 19, 2023",$2.99,$2.82,$2.87,$2.89,"$71,223,542","$733,327,730"
35,Synthetix,SNX,"Mar 18, 2023",$3.11,$2.84,$3.04,$2.87,"$127,293,344","$727,969,628"
36,Synthetix,SNX,"Mar 17, 2023",$3.13,$2.74,$2.82,$3.04,"$189,438,637","$770,852,115"
37,Synthetix,SNX,"Mar 16, 2023",$3.01,$2.54,$2.66,$2.82,"$160,905,459","$715,902,625"
38,Synthetix,SNX,"Mar 15, 2023",$3.35,$2.56,$3.16,$2.65,"$220,649,960","$672,374,590"
39,Synthetix,SNX,"Mar 14, 2023",$3.29,$2.94,$3.15,$3.16,"$183,263,034","$799,739,140"
40,Synthetix,SNX,"Mar 13, 2023",$3.30,$2.76,$2.77,$3.15,"$271,548,811","$798,331,177"
41,Synthetix,SNX,"Mar 12, 2023",$2.76,$2.14,$2.20,$2.76,"$84,149,426","$700,416,054"
42,Synthetix,SNX,"Mar 11, 2023",$2.32,$2.02,$2.24,$2.20,"$86,213,901","$557,253,232"
43,Synthetix,SNX,"Mar 10, 2023",$2.37,$2.12,$2.37,$2.24,"$82,515,598","$567,664,353"
44,Synthetix,SNX,"Mar 09, 2023",$2.61,$2.28,$2.60,$2.37,"$82,883,727","$599,676,552"
45,Synthetix,SNX,"Mar 08, 2023",$2.93,$2.58,$2.93,$2.60,"$80,438,768","$658,082,771"
46,Synthetix,SNX,"Mar 07, 2023",$3.15,$2.83,$3.12,$2.92,"$92,047,148","$740,302,494"
47,Synthetix,SNX,"Mar 06, 2023",$3.26,$3.06,$3.10,$3.12,"$105,377,385","$788,972,865"
