SNo,Name,Symbol,Date,High,Low,Open,Close,Volume,Marketcap
1,Solana,SOL,"Apr 21, 2023",$22.38,$21.13,$22.18,$21.28,"$489,546,774","$8,354,361,124"
2,Solana,SOL,"Apr 20, 2023",$23.12,$21.66,$22.70,$22.18,"$658,826,580","$8,706,109,175"
3,Solana,SOL,"Apr 19, 2023",$24.94,$22.27,$24.85,$22.71,"$836,873,906","$8,914,699,148"
4,Solana,SOL,"Apr 18, 2023",$25.42,$24.10,$24.56,$24.85,"$487,693,856","$9,750,379,900"
5,Solana,SOL,"Apr 17, 2023",$25.94,$24.41,$25.36,$24.56,"$789,077,237","$9,635,416,805"
6,Solana,SOL,"Apr 16, 2023",$25.45,$23.95,$24.08,$25.36,"$466,841,333","$9,950,761,126"
7,Solana,SOL,"Apr 15, 2023",$24.77,$23.87,$24.77,$24.08,"$379,745,930","$9,436,092,839"
8,Solana,SOL,"Apr 14, 2023",$25.46,$23.82,$24.44,$24.77,"$859,037,933","$9,705,211,459"
9,Solana,SOL,"Apr 13, 2023",$25.24,$23.70,$23.81,$24.43,"$792,335,438","$9,568,658,412"
10,Solana,SOL,"Apr 12, 2023",$24.34,$22.42,$23.02,$23.81,"$1,345,592,428","$9,325,753,236"
11,Solana,SOL,"Apr 11, 2023",$23.64,$20.86,$20.88,$23.02,"$1,083,533,914","$9,010,703,872"
12,Solana,SOL,"Apr 10, 2023",$20.94,$20.12,$20.30,$20.88,"$224,169,192","$8,104,132,829"
13,Solana,SOL,"Apr 09, 2023",$20.42,$19.96,$20.04,$20.30,"$152,580,905","$7,877,620,348"
14,Solana,SOL,"Apr 08, 2023",$20.71,$19.95,$20.47,$20.04,"$194,413,927","$7,772,940,908"
15,Solana,SOL,"Apr 07, 2023",$20.77,$20.27,$20.61,$20.47,"$171,660,856","$7,941,127,596"
16,Solana,SOL,"Apr 06, 2023",$20.97,$20.51,$20.97,$20.61,"$222,557,225","$7,979,840,112"
17,Solana,SOL,"Apr 05, 2023",$21.32,$20.67,$20.92,$20.97,"$324,885,702","$8,117,656,148"
18,Solana,SOL,"Apr 04, 2023",$21.24,$20.35,$20.44,$20.92,"$305,630,170","$8,098,499,393"
19,Solana,SOL,"Apr 03, 2023",$20.93,$20.02,$20.54,$20.44,"$437,266,506","$7,890,447,207"
20,Solana,SOL,"Apr 02, 2023",$21.29,$20.32,$21.09,$20.54,"$229,561,591","$7,920,489,152"
21,Solana,SOL,"Apr 01, 2023",$21.31,$20.86,$21.17,$21.09,"$230,316,043","$8,132,653,146"
22,Solana,SOL,"Mar 31, 2023",$21.44,$20.16,$20.55,$21.17,"$352,864,960","$8,163,409,987"
23,Solana,SOL,"Mar 30, 2023",$21.59,$20.23,$21.11,$20.55,"$472,449,267","$7,916,279,051"
24,Solana,SOL,"Mar 29, 2023",$21.51,$20.46,$20.47,$21.11,"$378,726,667","$8,120,560,069"
25,Solana,SOL,"Mar 28, 2023",$20.76,$19.67,$19.92,$20.47,"$347,656,506","$7,871,459,537"
26,Solana,SOL,"Mar 27, 2023",$20.98,$19.51,$20.98,$19.92,"$359,607,077","$7,650,501,908"
27,Solana,SOL,"Mar 26, 2023",$21.13,$20.35,$20.44,$20.98,"$226,663,968","$8,052,508,484"
28,Solana,SOL,"Mar 25, 2023",$20.95,$20.18,$20.68,$20.45,"$272,949,711","$7,849,492,543"
29,Solana,SOL,"Mar 24, 2023",$22.26,$20.36,$22.21,$20.68,"$547,225,198","$7,938,656,315"
30,Solana,SOL,"Mar 23, 2023",$22.70,$21.22,$21.48,$22.22,"$555,730,954","$8,526,335,021"
31,Solana,SOL,"Mar 22, 2023",$23.07,$21.15,$22.61,$21.48,"$851,680,842","$8,243,270,038"
32,Solana,SOL,"Mar 21, 2023",$23.22,$21.64,$22.18,$22.62,"$745,081,556","$8,676,355,479"
33,Solana,SOL,"Mar 20, 2023",$23.83,$21.59,$21.90,$22.18,"$1,147,250,538","$8,507,167,040"
34,Solana,SOL,"Mar 19, 2023",$22.45,$21.20,$21.20,$21.90,"$475,166,077","$8,399,587,656"
35,Solana,SOL,"Mar 18, 2023",$22.86,$21.14,$21.63,$21.20,"$789,771,840","$8,128,292,460"
36,Solana,SOL,"Mar 17, 2023",$21.68,$19.50,$19.73,$21.63,"$623,518,286","$8,291,613,412"
37,Solana,SOL,"Mar 16, 2023",$19.88,$19.04,$19.30,$19.73,"$438,673,097","$7,564,303,954"
38,Solana,SOL,"Mar 15, 2023",$21.49,$18.83,$20.94,$19.29,"$816,614,774","$7,392,053,745"
39,Solana,SOL,"Mar 14, 2023",$22.11,$19.91,$20.43,$20.93,"$1,130,224,251","$8,017,180,804"
40,Solana,SOL,"Mar 13, 2023",$21.34,$18.96,$20.31,$20.43,"$1,161,164,364","$7,828,101,949"
41,Solana,SOL,"Mar 12, 2023",$20.39,$17.94,$18.22,$20.31,"$666,940,879","$7,778,097,445"
42,Solana,SOL,"Mar 11, 2023",$18.85,$17.17,$18.24,$18.23,"$696,894,876","$6,979,769,156"
43,Solana,SOL,"Mar 10, 2023",$18.32,$16.12,$17.31,$18.24,"$944,032,048","$6,988,737,402"
44,Solana,SOL,"Mar 09, 2023",$18.69,$16.94,$18.42,$17.31,"$754,162,560","$6,628,088,185"
45,Solana,SOL,"Mar 08, 2023",$20.33,$18.29,$20.24,$18.42,"$620,543,521","$7,054,346,524"
46,Solana,SOL,"Mar 07, 2023",$20.89,$19.82,$20.63,$20.24,"$394,901,279","$7,750,027,547"
47,Solana,SOL,"Mar 06, 2023",$21.10,$20.52,$20.98,$20.64,"$318,022,843","$7,888,834,905"
48,Solana,SOL,"Mar 05, 2023",$21.62,$20.90,$20.97,$20.98,"$278,729,462","$8,019,674,678"
49,Solana,SOL,"Mar 04, 2023",$21.54,$20.37,$21.40,$20.97,"$249,364,880","$7,946,100,439"
50,Solana,SOL,"Mar 03, 2023",$22.00,$20.54,$21.99,$21.40,"$489,228,523","$8,110,041,433"
51,Solana,SOL,"Mar 02, 2023",$22.58,$21.73,$22.51,$21.98,"$322,545,445","$8,329,009,786"
52,Solana,SOL,"Mar 01, 2023",$22.80,$21.74,$21.91,$22.51,"$346,532,018","$8,526,627,438"
53,Solana,SOL,"Feb 28, 2023",$22.73,$21.83,$22.69,$21.92,"$351,065,863","$8,293,114,613"
54,Solana,SOL,"Feb 27, 2023",$23.37,$22.40,$23.26,$22.69,"$475,987,023","$8,586,734,683"
55,Solana,SOL,"Feb 26, 2023",$23.48,$22.32,$22.52,$23.26,"$370,371,591","$8,796,808,992"
56,Solana,SOL,"Feb 25, 2023",$23.27,$21.64,$23.06,$22.52,"$547,286,025","$8,521,883,475"
57,Solana,SOL,"Feb 24, 2023",$24.06,$22.64,$23.90,$23.05,"$612,377,428","$8,720,714,083"
58,Solana,SOL,"Feb 23, 2023",$24.64,$23.68,$24.18,$23.90,"$579,213,279","$9,041,194,661"
59,Solana,SOL,"Feb 22, 2023",$25.14,$23.38,$24.95,$24.18,"$892,548,647","$9,144,049,830"
60,Solana,SOL,"Feb 21, 2023",$26.42,$24.67,$26.18,$24.95,"$925,847,245","$9,436,984,115"
61,Solana,SOL,"Feb 20, 2023",$26.93,$24.34,$24.85,$26.18,"$1,459,545,676","$9,899,764,060"
62,Solana,SOL,"Feb 19, 2023",$25.52,$23.27,$23.48,$24.84,"$993,875,671","$9,392,350,578"
63,Solana,SOL,"Feb 18, 2023",$23.76,$22.97,$23.17,$23.48,"$370,892,073","$8,877,337,212"
64,Solana,SOL,"Feb 17, 2023",$23.49,$22.15,$22.28,$23.17,"$580,803,415","$8,756,311,140"
65,Solana,SOL,"Feb 16, 2023",$24.03,$22.26,$23.88,$22.29,"$885,086,333","$8,392,672,145"
66,Solana,SOL,"Feb 15, 2023",$23.90,$21.50,$21.82,$23.88,"$747,616,299","$8,990,838,024"
67,Solana,SOL,"Feb 14, 2023",$22.25,$20.71,$20.78,$21.82,"$865,868,623","$8,215,786,249"
68,Solana,SOL,"Feb 13, 2023",$21.53,$19.87,$21.49,$20.79,"$693,292,656","$7,805,456,771"
69,Solana,SOL,"Feb 12, 2023",$22.26,$20.65,$20.83,$21.49,"$532,943,787","$8,065,341,451"
70,Solana,SOL,"Feb 11, 2023",$20.86,$20.12,$20.13,$20.83,"$267,159,267","$7,816,989,405"
71,Solana,SOL,"Feb 10, 2023",$21.12,$19.84,$20.45,$20.13,"$654,189,930","$7,548,273,808"
72,Solana,SOL,"Feb 09, 2023",$23.28,$20.20,$23.20,$20.45,"$797,436,250","$7,668,952,354"
73,Solana,SOL,"Feb 08, 2023",$24.15,$22.88,$23.86,$23.19,"$534,148,944","$8,673,429,360"
74,Solana,SOL,"Feb 07, 2023",$23.90,$22.61,$22.70,$23.86,"$625,438,600","$8,905,348,789"
75,Solana,SOL,"Feb 06, 2023",$23.69,$22.60,$23.49,$22.71,"$449,884,793","$8,462,646,069"
76,Solana,SOL,"Feb 05, 2023",$24.43,$23.12,$24.32,$23.49,"$578,466,008","$8,752,875,130"
77,Solana,SOL,"Feb 04, 2023",$24.89,$24.32,$24.68,$24.32,"$321,758,043","$9,060,009,009"
