SNo,Name,Symbol,Date,High,Low,Open,Close,Volume,Marketcap
1,SushiSwap,SUSHI,"Apr 21, 2023",$1.08,$1.02,$1.07,$1.03,"$23,852,086","$233,044,737"
2,SushiSwap,SUSHI,"Apr 20, 2023",$1.11,$1.06,$1.10,$1.07,"$42,279,790","$238,029,735"
3,SushiSwap,SUSHI,"Apr 19, 2023",$1.21,$1.09,$1.21,$1.10,"$50,235,474","$244,869,083"
4,SushiSwap,SUSHI,"Apr 18, 2023",$1.22,$1.16,$1.17,$1.21,"$32,795,311","$268,428,876"
5,SushiSwap,SUSHI,"Apr 17, 2023",$1.20,$1.16,$1.20,$1.17,"$33,518,042","$259,051,184"
6,SushiSwap,SUSHI,"Apr 16, 2023",$1.21,$1.17,$1.18,$1.20,"$28,672,907","$266,421,514"
7,SushiSwap,SUSHI,"Apr 15, 2023",$1.19,$1.17,$1.19,$1.18,"$28,152,445","$262,414,996"
8,SushiSwap,SUSHI,"Apr 14, 2023",$1.20,$1.15,$1.17,$1.19,"$45,868,643","$263,818,080"
9,SushiSwap,SUSHI,"Apr 13, 2023",$1.17,$1.12,$1.12,$1.17,"$31,058,717","$259,919,007"
10,SushiSwap,SUSHI,"Apr 12, 2023",$1.14,$1.10,$1.14,$1.12,"$36,890,897","$249,763,571"
11,SushiSwap,SUSHI,"Apr 11, 2023",$1.15,$1.13,$1.15,$1.14,"$31,732,451","$253,100,171"
12,SushiSwap,SUSHI,"Apr 10, 2023",$1.15,$1.10,$1.11,$1.15,"$33,656,319","$254,620,242"
13,SushiSwap,SUSHI,"Apr 09, 2023",$1.12,$1.07,$1.10,$1.11,"$38,742,598","$247,479,808"
14,SushiSwap,SUSHI,"Apr 08, 2023",$1.13,$1.09,$1.11,$1.10,"$29,814,601","$244,917,333"
15,SushiSwap,SUSHI,"Apr 07, 2023",$1.15,$1.10,$1.14,$1.11,"$30,257,727","$246,555,647"
16,SushiSwap,SUSHI,"Apr 06, 2023",$1.14,$1.11,$1.13,$1.14,"$28,812,055","$253,716,938"
17,SushiSwap,SUSHI,"Apr 05, 2023",$1.16,$1.12,$1.14,$1.13,"$29,275,706","$251,596,610"
18,SushiSwap,SUSHI,"Apr 04, 2023",$1.15,$1.08,$1.08,$1.14,"$42,819,331","$252,695,461"
19,SushiSwap,SUSHI,"Apr 03, 2023",$1.10,$1.03,$1.06,$1.08,"$36,791,809","$240,831,759"
