SNo,Name,Symbol,Date,High,Low,Open,Close,Volume,Marketcap
1,Tron,TRX,"Apr 21, 2023",$0.07,$0.06,$0.07,$0.07,"$203,170,564","$5,897,571,574"
2,Tron,TRX,"Apr 20, 2023",$0.07,$0.06,$0.07,$0.07,"$260,052,069","$5,935,793,294"
3,Tron,TRX,"Apr 19, 2023",$0.07,$0.07,$0.07,$0.07,"$284,488,433","$5,976,274,691"
4,Tron,TRX,"Apr 18, 2023",$0.07,$0.07,$0.07,$0.07,"$182,633,505","$6,060,176,041"
5,Tron,TRX,"Apr 17, 2023",$0.07,$0.07,$0.07,$0.07,"$186,846,117","$5,972,294,250"
6,Tron,TRX,"Apr 16, 2023",$0.07,$0.07,$0.07,$0.07,"$138,908,766","$6,043,016,494"
7,Tron,TRX,"Apr 15, 2023",$0.07,$0.07,$0.07,$0.07,"$160,719,155","$5,993,703,041"
8,Tron,TRX,"Apr 14, 2023",$0.07,$0.07,$0.07,$0.07,"$249,121,640","$6,017,809,713"
9,Tron,TRX,"Apr 13, 2023",$0.07,$0.06,$0.07,$0.07,"$239,705,567","$5,932,543,887"
10,Tron,TRX,"Apr 12, 2023",$0.07,$0.06,$0.07,$0.07,"$263,863,465","$5,907,693,133"
11,Tron,TRX,"Apr 11, 2023",$0.07,$0.07,$0.07,$0.07,"$314,766,026","$6,036,448,263"
12,Tron,TRX,"Apr 10, 2023",$0.07,$0.07,$0.07,$0.07,"$208,000,060","$6,119,583,627"
13,Tron,TRX,"Apr 09, 2023",$0.07,$0.07,$0.07,$0.07,"$160,496,297","$6,058,451,213"
14,Tron,TRX,"Apr 08, 2023",$0.07,$0.07,$0.07,$0.07,"$161,228,526","$6,013,727,179"
15,Tron,TRX,"Apr 07, 2023",$0.07,$0.07,$0.07,$0.07,"$175,108,623","$6,010,977,922"
16,Tron,TRX,"Apr 06, 2023",$0.07,$0.07,$0.07,$0.07,"$220,436,025","$6,010,608,538"
17,Tron,TRX,"Apr 05, 2023",$0.07,$0.07,$0.07,$0.07,"$200,006,422","$6,012,620,315"
18,Tron,TRX,"Apr 04, 2023",$0.07,$0.07,$0.07,$0.07,"$228,568,032","$5,984,041,389"
19,Tron,TRX,"Apr 03, 2023",$0.07,$0.06,$0.07,$0.07,"$226,414,717","$5,983,044,603"
20,Tron,TRX,"Apr 02, 2023",$0.07,$0.06,$0.07,$0.07,"$187,174,703","$5,943,306,250"
21,Tron,TRX,"Apr 01, 2023",$0.07,$0.07,$0.07,$0.07,"$219,808,205","$6,083,276,301"
22,Tron,TRX,"Mar 31, 2023",$0.07,$0.06,$0.06,$0.07,"$224,600,778","$5,972,484,042"
23,Tron,TRX,"Mar 30, 2023",$0.07,$0.06,$0.06,$0.06,"$258,652,353","$5,901,045,668"
