SNo,Name,Symbol,Date,High,Low,Open,Close,Volume,Marketcap
1,Uniswap,UNI,"Apr 21, 2023",$5.83,$5.43,$5.78,$5.47,"$96,856,517","$3,159,187,940"
2,Uniswap,UNI,"Apr 20, 2023",$5.95,$5.69,$5.84,$5.78,"$90,273,751","$3,339,777,345"
3,Uniswap,UNI,"Apr 19, 2023",$6.46,$5.78,$6.33,$5.85,"$147,802,952","$3,375,780,021"
4,Uniswap,UNI,"Apr 18, 2023",$6.36,$6.07,$6.13,$6.33,"$101,607,262","$3,656,485,826"
5,Uniswap,UNI,"Apr 17, 2023",$6.32,$6.09,$6.32,$6.13,"$82,421,202","$3,538,947,662"
6,Uniswap,UNI,"Apr 16, 2023",$6.45,$6.18,$6.28,$6.32,"$95,368,030","$3,649,460,325"
7,Uniswap,UNI,"Apr 15, 2023",$6.36,$6.23,$6.32,$6.28,"$81,333,591","$3,624,583,263"
8,Uniswap,UNI,"Apr 14, 2023",$6.45,$6.14,$6.20,$6.32,"$145,757,073","$3,646,808,717"
9,Uniswap,UNI,"Apr 13, 2023",$6.24,$5.91,$5.95,$6.20,"$92,952,330","$3,581,791,391"
10,Uniswap,UNI,"Apr 12, 2023",$6.00,$5.77,$5.95,$5.95,"$96,044,421","$3,434,031,078"
11,Uniswap,UNI,"Apr 11, 2023",$6.09,$5.93,$6.02,$5.94,"$75,267,563","$3,433,041,807"
12,Uniswap,UNI,"Apr 10, 2023",$6.04,$5.84,$5.92,$6.02,"$75,857,216","$3,476,221,059"
13,Uniswap,UNI,"Apr 09, 2023",$5.95,$5.84,$5.92,$5.92,"$66,072,311","$3,418,844,072"
14,Uniswap,UNI,"Apr 08, 2023",$6.05,$5.90,$6.01,$5.92,"$66,824,780","$3,418,196,509"
15,Uniswap,UNI,"Apr 07, 2023",$6.10,$5.97,$6.08,$6.01,"$61,572,818","$3,470,050,141"
16,Uniswap,UNI,"Apr 06, 2023",$6.23,$6.06,$6.23,$6.08,"$59,989,981","$3,509,438,513"
17,Uniswap,UNI,"Apr 05, 2023",$6.33,$6.14,$6.16,$6.23,"$67,769,330","$3,597,256,708"
18,Uniswap,UNI,"Apr 04, 2023",$6.20,$5.89,$5.93,$6.16,"$67,346,134","$3,555,671,782"
19,Uniswap,UNI,"Apr 03, 2023",$6.08,$5.84,$5.95,$5.93,"$72,822,240","$3,426,314,214"
