SNo,Name,Symbol,Date,High,Low,Open,Close,Volume,Marketcap
1,Stellar,XLM,"Apr 21, 2023",$0.10,$0.09,$0.10,$0.09,"$61,295,675","$2,489,284,466"
2,Stellar,XLM,"Apr 20, 2023",$0.10,$0.09,$0.10,$0.10,"$61,887,159","$2,564,745,124"
3,Stellar,XLM,"Apr 19, 2023",$0.11,$0.10,$0.11,$0.10,"$88,172,361","$2,616,401,303"
4,Stellar,XLM,"Apr 18, 2023",$0.11,$0.10,$0.10,$0.11,"$56,115,086","$2,827,059,371"
5,Stellar,XLM,"Apr 17, 2023",$0.11,$0.10,$0.11,$0.10,"$52,147,828","$2,785,768,862"
6,Stellar,XLM,"Apr 16, 2023",$0.11,$0.11,$0.11,$0.11,"$46,503,020","$2,874,809,727"
7,Stellar,XLM,"Apr 15, 2023",$0.11,$0.11,$0.11,$0.11,"$44,548,088","$2,852,025,305"
8,Stellar,XLM,"Apr 14, 2023",$0.11,$0.11,$0.11,$0.11,"$88,879,571","$2,864,351,783"
9,Stellar,XLM,"Apr 13, 2023",$0.11,$0.10,$0.10,$0.11,"$51,344,898","$2,819,357,822"
10,Stellar,XLM,"Apr 12, 2023",$0.11,$0.10,$0.11,$0.10,"$47,520,838","$2,798,140,180"
11,Stellar,XLM,"Apr 11, 2023",$0.11,$0.11,$0.11,$0.11,"$54,624,727","$2,813,144,367"
12,Stellar,XLM,"Apr 10, 2023",$0.11,$0.10,$0.10,$0.11,"$45,568,049","$2,827,165,698"
13,Stellar,XLM,"Apr 09, 2023",$0.11,$0.10,$0.10,$0.10,"$39,384,506","$2,800,383,252"
14,Stellar,XLM,"Apr 08, 2023",$0.11,$0.10,$0.11,$0.10,"$36,450,518","$2,789,732,679"
15,Stellar,XLM,"Apr 07, 2023",$0.11,$0.10,$0.11,$0.11,"$49,747,027","$2,844,428,978"
16,Stellar,XLM,"Apr 06, 2023",$0.11,$0.10,$0.11,$0.11,"$57,518,982","$2,825,197,880"
17,Stellar,XLM,"Apr 05, 2023",$0.11,$0.11,$0.11,$0.11,"$69,695,907","$2,864,076,218"
18,Stellar,XLM,"Apr 04, 2023",$0.11,$0.10,$0.11,$0.11,"$72,497,227","$2,832,277,266"
19,Stellar,XLM,"Apr 03, 2023",$0.11,$0.11,$0.11,$0.11,"$100,240,480","$2,847,930,239"
20,Stellar,XLM,"Apr 02, 2023",$0.11,$0.11,$0.11,$0.11,"$82,570,532","$2,842,099,182"
21,Stellar,XLM,"Apr 01, 2023",$0.11,$0.11,$0.11,$0.11,"$96,970,945","$2,872,306,904"
22,Stellar,XLM,"Mar 31, 2023",$0.11,$0.11,$0.11,$0.11,"$202,981,746","$2,987,529,670"
23,Stellar,XLM,"Mar 30, 2023",$0.11,$0.10,$0.10,$0.11,"$168,548,645","$2,829,661,907"
