SNo,Name,Symbol,Date,High,Low,Open,Close,Volume,Marketcap
1,Monero,XMR,"Apr 21, 2023",$155.53,$149.52,$153.65,$151.27,"$83,378,402","$2,763,462,177"
2,Monero,XMR,"Apr 20, 2023",$156.13,$151.24,$153.09,$153.66,"$77,784,072","$2,807,138,315"
3,Monero,XMR,"Apr 19, 2023",$162.84,$152.33,$162.78,$153.15,"$96,565,146","$2,797,817,881"
4,Monero,XMR,"Apr 18, 2023",$163.26,$158.41,$159.57,$162.78,"$71,288,321","$2,973,638,475"
5,Monero,XMR,"Apr 17, 2023",$163.80,$159.54,$163.63,$159.56,"$80,486,639","$2,914,706,491"
6,Monero,XMR,"Apr 16, 2023",$164.10,$161.00,$162.50,$163.62,"$57,557,331","$2,988,734,919"
7,Monero,XMR,"Apr 15, 2023",$163.74,$161.47,$162.13,$162.51,"$76,583,604","$2,968,462,104"
8,Monero,XMR,"Apr 14, 2023",$164.41,$159.30,$162.10,$162.12,"$86,220,196","$2,961,249,221"
9,Monero,XMR,"Apr 13, 2023",$163.80,$161.58,$162.20,$162.09,"$76,337,594","$2,960,704,851"
10,Monero,XMR,"Apr 12, 2023",$163.44,$159.33,$162.16,$162.42,"$93,190,391","$2,966,612,780"
11,Monero,XMR,"Apr 11, 2023",$162.67,$158.97,$159.22,$162.16,"$98,223,888","$2,961,841,503"
12,Monero,XMR,"Apr 10, 2023",$160.80,$155.49,$160.32,$159.22,"$110,276,857","$2,907,992,895"
13,Monero,XMR,"Apr 09, 2023",$160.41,$157.88,$158.29,$160.33,"$61,052,146","$2,928,207,776"
14,Monero,XMR,"Apr 08, 2023",$159.00,$156.75,$156.77,$158.29,"$67,723,771","$2,890,809,591"
15,Monero,XMR,"Apr 07, 2023",$157.83,$155.27,$156.43,$156.78,"$66,097,698","$2,863,324,962"
16,Monero,XMR,"Apr 06, 2023",$158.72,$156.30,$158.05,$156.43,"$65,083,058","$2,856,715,252"
17,Monero,XMR,"Apr 05, 2023",$160.15,$156.18,$158.71,$158.04,"$69,163,383","$2,886,081,404"
18,Monero,XMR,"Apr 04, 2023",$159.53,$156.08,$156.54,$158.71,"$71,572,572","$2,898,202,959"
19,Monero,XMR,"Apr 03, 2023",$161.75,$155.78,$160.22,$156.55,"$83,225,383","$2,858,724,683"
20,Monero,XMR,"Apr 02, 2023",$160.82,$156.46,$156.98,$160.22,"$72,136,866","$2,925,795,855"
21,Monero,XMR,"Apr 01, 2023",$158.40,$154.15,$157.69,$158.12,"$51,083,924","$2,887,324,615"
22,Monero,XMR,"Mar 31, 2023",$158.40,$154.75,$155.28,$157.71,"$76,869,658","$2,879,698,732"
23,Monero,XMR,"Mar 30, 2023",$163.19,$154.57,$158.94,$155.27,"$101,354,276","$2,835,087,088"
24,Monero,XMR,"Mar 29, 2023",$159.91,$153.80,$153.97,$158.93,"$95,172,149","$2,901,878,043"
25,Monero,XMR,"Mar 28, 2023",$156.01,$149.85,$152.11,$153.94,"$79,536,982","$2,810,697,623"
26,Monero,XMR,"Mar 27, 2023",$164.90,$151.63,$161.57,$152.21,"$110,634,318","$2,779,071,967"
27,Monero,XMR,"Mar 26, 2023",$165.83,$158.99,$160.07,$161.57,"$71,529,860","$2,949,822,914"
28,Monero,XMR,"Mar 25, 2023",$164.78,$160.06,$162.03,$160.06,"$82,501,438","$2,922,323,744"
29,Monero,XMR,"Mar 24, 2023",$163.10,$155.32,$156.66,$162.01,"$124,715,331","$2,957,711,234"
30,Monero,XMR,"Mar 23, 2023",$156.77,$148.83,$149.06,$156.66,"$121,513,681","$2,860,043,046"
31,Monero,XMR,"Mar 22, 2023",$154.81,$146.15,$153.28,$149.06,"$132,191,020","$2,721,286,093"
32,Monero,XMR,"Mar 21, 2023",$156.78,$149.58,$151.65,$153.17,"$107,975,687","$2,796,124,773"
33,Monero,XMR,"Mar 20, 2023",$155.99,$150.02,$153.71,$151.58,"$84,614,264","$2,767,118,876"
34,Monero,XMR,"Mar 19, 2023",$158.88,$149.20,$149.41,$153.69,"$82,942,523","$2,805,588,460"
35,Monero,XMR,"Mar 18, 2023",$154.66,$147.45,$153.94,$149.37,"$77,701,043","$2,726,657,894"
36,Monero,XMR,"Mar 17, 2023",$154.52,$149.28,$149.31,$153.91,"$87,483,308","$2,809,445,109"
37,Monero,XMR,"Mar 16, 2023",$149.78,$145.03,$146.64,$149.32,"$67,289,237","$2,725,601,930"
38,Monero,XMR,"Mar 15, 2023",$152.37,$142.86,$150.13,$146.56,"$90,334,558","$2,675,114,848"
39,Monero,XMR,"Mar 14, 2023",$157.93,$147.62,$152.80,$150.11,"$123,490,029","$2,739,809,855"
40,Monero,XMR,"Mar 13, 2023",$155.46,$146.13,$150.90,$152.80,"$106,682,974","$2,788,884,088"
41,Monero,XMR,"Mar 12, 2023",$151.13,$140.51,$141.25,$150.90,"$95,149,821","$2,754,252,717"
42,Monero,XMR,"Mar 11, 2023",$143.34,$133.53,$135.30,$141.23,"$97,614,098","$2,577,594,806"
43,Monero,XMR,"Mar 10, 2023",$142.58,$132.24,$142.58,$135.31,"$88,987,259","$2,469,452,875"
44,Monero,XMR,"Mar 09, 2023",$152.29,$140.82,$143.61,$142.58,"$87,243,144","$2,602,054,979"
45,Monero,XMR,"Mar 08, 2023",$151.40,$143.65,$150.31,$143.65,"$77,643,407","$2,621,565,721"
46,Monero,XMR,"Mar 07, 2023",$154.82,$148.61,$154.01,$150.31,"$78,897,739","$2,743,095,312"
47,Monero,XMR,"Mar 06, 2023",$154.03,$148.49,$149.53,$154.03,"$80,317,490","$2,810,943,336"
48,Monero,XMR,"Mar 05, 2023",$150.07,$146.39,$146.71,$149.53,"$52,900,174","$2,728,800,114"
49,Monero,XMR,"Mar 04, 2023",$147.74,$144.29,$144.93,$146.70,"$53,506,744","$2,676,983,877"
50,Monero,XMR,"Mar 03, 2023",$151.25,$141.27,$151.07,$144.91,"$70,335,341","$2,644,194,097"
51,Monero,XMR,"Mar 02, 2023",$153.15,$148.75,$152.67,$151.08,"$76,654,316","$2,756,708,749"
52,Monero,XMR,"Mar 01, 2023",$153.60,$150.28,$150.28,$152.67,"$81,021,638","$2,785,714,802"
53,Monero,XMR,"Feb 28, 2023",$152.31,$149.01,$149.84,$150.28,"$71,567,935","$2,742,063,093"
54,Monero,XMR,"Feb 27, 2023",$152.22,$146.55,$151.38,$149.82,"$61,948,954","$2,733,687,946"
55,Monero,XMR,"Feb 26, 2023",$152.17,$148.40,$149.03,$151.38,"$59,485,307","$2,761,937,516"
56,Monero,XMR,"Feb 25, 2023",$151.48,$145.72,$150.43,$149.03,"$62,828,768","$2,719,143,977"
