SNo,Name,Symbol,Date,High,Low,Open,Close,Volume,Marketcap
1,Ripple,XRP,"Apr 21, 2023",$0.48,$0.44,$0.47,$0.45,"$1,412,575,276","$23,256,583,202"
2,Ripple,XRP,"Apr 20, 2023",$0.50,$0.47,$0.49,$0.47,"$1,484,251,970","$24,574,282,983"
3,Ripple,XRP,"Apr 19, 2023",$0.53,$0.49,$0.53,$0.49,"$2,047,949,057","$25,440,636,298"
4,Ripple,XRP,"Apr 18, 2023",$0.54,$0.51,$0.51,$0.53,"$1,169,237,634","$27,545,102,529"
5,Ripple,XRP,"Apr 17, 2023",$0.52,$0.51,$0.52,$0.51,"$1,021,376,248","$26,451,231,195"
6,Ripple,XRP,"Apr 16, 2023",$0.52,$0.52,$0.52,$0.52,"$631,212,313","$26,982,441,054"
7,Ripple,XRP,"Apr 15, 2023",$0.53,$0.52,$0.52,$0.52,"$670,556,486","$26,933,378,690"
8,Ripple,XRP,"Apr 14, 2023",$0.54,$0.51,$0.51,$0.52,"$1,597,156,518","$27,117,062,181"
9,Ripple,XRP,"Apr 13, 2023",$0.51,$0.50,$0.51,$0.51,"$963,105,081","$26,563,293,568"
10,Ripple,XRP,"Apr 12, 2023",$0.52,$0.50,$0.52,$0.51,"$1,063,340,695","$26,191,853,778"
11,Ripple,XRP,"Apr 11, 2023",$0.53,$0.51,$0.52,$0.52,"$1,206,362,804","$26,749,708,886"
12,Ripple,XRP,"Apr 10, 2023",$0.52,$0.50,$0.51,$0.52,"$914,389,505","$26,791,069,408"
13,Ripple,XRP,"Apr 09, 2023",$0.51,$0.50,$0.51,$0.51,"$550,582,813","$26,145,783,969"
14,Ripple,XRP,"Apr 08, 2023",$0.51,$0.50,$0.51,$0.51,"$587,641,054","$26,139,670,730"
15,Ripple,XRP,"Apr 07, 2023",$0.51,$0.50,$0.50,$0.51,"$1,060,408,546","$26,554,250,786"
16,Ripple,XRP,"Apr 06, 2023",$0.51,$0.49,$0.51,$0.50,"$1,077,113,140","$26,014,728,556"
17,Ripple,XRP,"Apr 05, 2023",$0.53,$0.50,$0.50,$0.51,"$1,402,532,299","$26,146,735,514"
18,Ripple,XRP,"Apr 04, 2023",$0.51,$0.49,$0.50,$0.50,"$1,230,443,035","$26,004,383,762"
19,Ripple,XRP,"Apr 03, 2023",$0.52,$0.49,$0.52,$0.50,"$1,655,872,706","$25,667,659,150"
20,Ripple,XRP,"Apr 02, 2023",$0.53,$0.50,$0.51,$0.52,"$1,488,648,839","$26,803,620,003"
21,Ripple,XRP,"Apr 01, 2023",$0.54,$0.50,$0.54,$0.51,"$1,829,835,076","$26,600,884,290"
22,Ripple,XRP,"Mar 31, 2023",$0.55,$0.53,$0.53,$0.54,"$1,934,253,477","$27,828,271,565"
23,Ripple,XRP,"Mar 30, 2023",$0.55,$0.53,$0.54,$0.53,"$2,694,676,898","$27,609,013,087"
24,Ripple,XRP,"Mar 29, 2023",$0.58,$0.52,$0.52,$0.54,"$4,092,945,977","$28,091,096,061"
25,Ripple,XRP,"Mar 28, 2023",$0.53,$0.47,$0.48,$0.52,"$3,163,217,119","$26,617,281,708"
26,Ripple,XRP,"Mar 27, 2023",$0.49,$0.44,$0.45,$0.48,"$2,730,255,979","$24,805,077,972"
27,Ripple,XRP,"Mar 26, 2023",$0.46,$0.44,$0.44,$0.45,"$1,090,501,588","$22,867,642,501"
28,Ripple,XRP,"Mar 25, 2023",$0.46,$0.42,$0.43,$0.44,"$1,832,767,576","$22,658,711,029"
29,Ripple,XRP,"Mar 24, 2023",$0.44,$0.42,$0.44,$0.43,"$1,314,887,049","$21,700,105,315"
30,Ripple,XRP,"Mar 23, 2023",$0.45,$0.42,$0.42,$0.44,"$2,161,421,825","$22,665,534,571"
31,Ripple,XRP,"Mar 22, 2023",$0.47,$0.41,$0.47,$0.42,"$3,312,385,991","$21,525,747,665"
32,Ripple,XRP,"Mar 21, 2023",$0.49,$0.37,$0.37,$0.47,"$4,178,958,939","$23,932,164,232"
