SNo,Name,Symbol,Date,High,Low,Open,Close,Volume,Marketcap
1,ZCash,ZEC,"Apr 21, 2023",$38.36,$36.02,$37.78,$36.54,"$23,926,655","$596,573,458"
2,ZCash,ZEC,"Apr 20, 2023",$38.82,$37.09,$38.14,$37.78,"$26,871,922","$616,897,658"
3,ZCash,ZEC,"Apr 19, 2023",$42.61,$37.75,$42.55,$38.14,"$40,452,619","$622,720,816"
4,ZCash,ZEC,"Apr 18, 2023",$43.07,$41.31,$41.56,$42.55,"$23,795,136","$694,788,036"
5,ZCash,ZEC,"Apr 17, 2023",$42.69,$41.39,$42.66,$41.55,"$25,134,464","$678,494,862"
6,ZCash,ZEC,"Apr 16, 2023",$43.24,$42.13,$42.92,$42.66,"$23,819,059","$696,576,654"
7,ZCash,ZEC,"Apr 15, 2023",$43.23,$41.30,$42.19,$42.93,"$35,704,606","$700,892,316"
8,ZCash,ZEC,"Apr 14, 2023",$42.76,$40.77,$41.31,$42.18,"$42,411,711","$688,793,927"
9,ZCash,ZEC,"Apr 13, 2023",$42.06,$39.62,$39.81,$41.30,"$42,942,911","$674,416,035"
10,ZCash,ZEC,"Apr 12, 2023",$40.21,$38.37,$39.79,$40.21,"$30,524,298","$656,622,666"
11,ZCash,ZEC,"Apr 11, 2023",$40.27,$39.18,$39.51,$39.80,"$33,261,899","$649,807,638"
12,ZCash,ZEC,"Apr 10, 2023",$39.89,$38.30,$39.68,$39.50,"$31,543,847","$645,043,304"
13,ZCash,ZEC,"Apr 09, 2023",$39.96,$37.67,$38.46,$39.68,"$33,227,141","$647,880,116"
14,ZCash,ZEC,"Apr 08, 2023",$38.69,$37.51,$37.73,$38.46,"$21,942,406","$627,988,188"
15,ZCash,ZEC,"Apr 07, 2023",$38.03,$36.72,$37.75,$37.73,"$22,199,938","$616,019,155"
16,ZCash,ZEC,"Apr 06, 2023",$38.08,$37.15,$37.96,$37.74,"$23,374,429","$616,296,516"
17,ZCash,ZEC,"Apr 05, 2023",$38.54,$37.46,$37.73,$37.96,"$23,744,636","$619,762,815"
18,ZCash,ZEC,"Apr 04, 2023",$37.93,$36.22,$36.44,$37.73,"$21,639,933","$616,025,780"
19,ZCash,ZEC,"Apr 03, 2023",$37.13,$35.21,$36.64,$36.45,"$28,368,151","$595,098,821"
20,ZCash,ZEC,"Apr 02, 2023",$38.29,$36.10,$38.28,$36.64,"$21,884,809","$598,218,865"
21,ZCash,ZEC,"Apr 01, 2023",$38.86,$37.46,$38.75,$37.90,"$25,809,686","$618,780,621"
22,ZCash,ZEC,"Mar 31, 2023",$39.22,$37.51,$37.82,$38.75,"$34,303,806","$632,783,850"
23,ZCash,ZEC,"Mar 30, 2023",$37.82,$36.42,$37.16,$37.81,"$35,015,331","$617,418,754"
24,ZCash,ZEC,"Mar 29, 2023",$38.00,$36.31,$36.38,$37.16,"$31,966,134","$606,690,590"
25,ZCash,ZEC,"Mar 28, 2023",$37.06,$35.55,$35.84,$36.38,"$32,255,253","$594,037,977"
26,ZCash,ZEC,"Mar 27, 2023",$37.34,$34.85,$36.29,$35.83,"$38,426,309","$585,096,175"
27,ZCash,ZEC,"Mar 26, 2023",$36.83,$35.34,$35.58,$36.29,"$21,486,610","$592,510,166"
28,ZCash,ZEC,"Mar 25, 2023",$36.06,$34.87,$35.91,$35.58,"$22,647,165","$581,000,795"
29,ZCash,ZEC,"Mar 24, 2023",$38.44,$35.25,$38.05,$35.91,"$38,700,387","$586,284,047"
30,ZCash,ZEC,"Mar 23, 2023",$38.20,$34.41,$34.70,$38.05,"$39,719,529","$621,271,491"
31,ZCash,ZEC,"Mar 22, 2023",$36.52,$33.93,$36.52,$34.70,"$39,555,098","$566,646,691"
32,ZCash,ZEC,"Mar 21, 2023",$36.94,$33.46,$34.44,$36.53,"$43,075,789","$596,542,312"
33,ZCash,ZEC,"Mar 20, 2023",$37.74,$34.39,$36.65,$34.43,"$39,100,798","$562,164,310"
34,ZCash,ZEC,"Mar 19, 2023",$37.56,$35.96,$36.03,$36.65,"$31,393,457","$598,430,632"
35,ZCash,ZEC,"Mar 18, 2023",$37.86,$35.76,$37.13,$36.03,"$46,961,465","$588,346,833"
36,ZCash,ZEC,"Mar 17, 2023",$37.13,$33.59,$34.00,$37.13,"$45,590,903","$606,211,591"
37,ZCash,ZEC,"Mar 16, 2023",$34.34,$32.98,$33.31,$33.99,"$40,180,980","$555,065,083"
38,ZCash,ZEC,"Mar 15, 2023",$37.21,$32.83,$36.31,$33.29,"$52,393,198","$543,637,227"
39,ZCash,ZEC,"Mar 14, 2023",$37.77,$34.70,$35.38,$36.30,"$69,417,569","$592,742,164"
40,ZCash,ZEC,"Mar 13, 2023",$35.72,$32.95,$34.42,$35.39,"$57,512,187","$577,820,130"
41,ZCash,ZEC,"Mar 12, 2023",$34.46,$30.99,$31.58,$34.42,"$40,884,517","$561,971,643"
42,ZCash,ZEC,"Mar 11, 2023",$32.89,$30.24,$32.11,$31.58,"$53,543,042","$515,714,995"
43,ZCash,ZEC,"Mar 10, 2023",$34.15,$30.78,$34.13,$32.12,"$58,033,453","$524,423,632"
44,ZCash,ZEC,"Mar 09, 2023",$37.01,$33.32,$35.72,$34.12,"$38,613,303","$557,110,049"
45,ZCash,ZEC,"Mar 08, 2023",$37.80,$35.46,$37.66,$35.72,"$35,323,322","$583,259,000"
46,ZCash,ZEC,"Mar 07, 2023",$38.83,$36.86,$38.50,$37.65,"$37,642,158","$614,840,277"
47,ZCash,ZEC,"Mar 06, 2023",$38.73,$37.56,$38.13,$38.51,"$38,317,501","$628,738,667"
48,ZCash,ZEC,"Mar 05, 2023",$39.25,$38.00,$38.53,$38.12,"$28,736,436","$622,362,891"
49,ZCash,ZEC,"Mar 04, 2023",$39.89,$37.74,$39.58,$38.53,"$34,843,237","$629,176,853"
50,ZCash,ZEC,"Mar 03, 2023",$43.62,$37.99,$43.59,$39.59,"$58,953,080","$646,370,415"
51,ZCash,ZEC,"Mar 02, 2023",$44.38,$43.04,$44.29,$43.59,"$54,538,201","$711,735,910"
52,ZCash,ZEC,"Mar 01, 2023",$44.74,$42.97,$43.08,$44.29,"$64,628,007","$723,191,901"
53,ZCash,ZEC,"Feb 28, 2023",$44.52,$42.91,$44.20,$43.08,"$54,982,588","$703,354,469"
54,ZCash,ZEC,"Feb 27, 2023",$45.14,$43.56,$45.10,$44.20,"$58,887,551","$721,689,658"
55,ZCash,ZEC,"Feb 26, 2023",$45.35,$44.21,$44.47,$45.10,"$53,959,999","$736,352,752"
56,ZCash,ZEC,"Feb 25, 2023",$45.36,$43.56,$45.22,$44.47,"$56,315,484","$726,124,626"
57,ZCash,ZEC,"Feb 24, 2023",$48.50,$44.72,$47.89,$45.21,"$69,310,434","$738,274,843"
58,ZCash,ZEC,"Feb 23, 2023",$48.35,$46.60,$47.91,$47.89,"$66,752,704","$782,024,106"
59,ZCash,ZEC,"Feb 22, 2023",$49.73,$46.01,$49.20,$47.91,"$70,889,589","$782,213,866"
60,ZCash,ZEC,"Feb 21, 2023",$50.53,$47.96,$50.11,$49.17,"$98,476,608","$802,805,854"
61,ZCash,ZEC,"Feb 20, 2023",$51.14,$47.33,$47.90,$50.10,"$116,613,388","$818,098,861"
62,ZCash,ZEC,"Feb 19, 2023",$49.24,$45.92,$46.10,$47.88,"$103,832,380","$781,764,509"
63,ZCash,ZEC,"Feb 18, 2023",$46.96,$45.32,$45.32,$46.10,"$74,386,201","$752,796,604"
64,ZCash,ZEC,"Feb 17, 2023",$45.83,$43.42,$43.51,$45.32,"$80,653,345","$740,017,719"
65,ZCash,ZEC,"Feb 16, 2023",$47.03,$43.40,$46.25,$43.51,"$88,923,081","$710,493,887"
66,ZCash,ZEC,"Feb 15, 2023",$46.43,$43.17,$43.63,$46.26,"$75,580,481","$755,334,167"
67,ZCash,ZEC,"Feb 14, 2023",$44.07,$42.50,$43.58,$43.63,"$70,269,192","$712,362,389"
68,ZCash,ZEC,"Feb 13, 2023",$46.63,$42.59,$46.20,$43.59,"$85,947,664","$711,811,363"
69,ZCash,ZEC,"Feb 12, 2023",$48.40,$44.60,$45.65,$46.20,"$92,821,145","$754,439,683"
70,ZCash,ZEC,"Feb 11, 2023",$46.45,$43.43,$43.61,$45.65,"$72,966,215","$745,431,445"
71,ZCash,ZEC,"Feb 10, 2023",$44.48,$42.60,$42.91,$43.60,"$65,221,377","$711,886,490"
72,ZCash,ZEC,"Feb 09, 2023",$45.54,$42.57,$45.26,$42.91,"$84,856,419","$700,530,360"
73,ZCash,ZEC,"Feb 08, 2023",$47.03,$44.89,$46.87,$45.24,"$66,879,058","$738,244,775"
74,ZCash,ZEC,"Feb 07, 2023",$47.03,$43.33,$43.35,$46.86,"$70,312,121","$764,346,543"
75,ZCash,ZEC,"Feb 06, 2023",$44.71,$43.19,$44.22,$43.35,"$57,268,623","$706,854,512"
76,ZCash,ZEC,"Feb 05, 2023",$46.66,$43.75,$46.57,$44.23,"$62,238,469","$720,812,937"
77,ZCash,ZEC,"Feb 04, 2023",$47.33,$46.34,$47.03,$46.57,"$49,583,217","$758,560,360"
78,ZCash,ZEC,"Feb 03, 2023",$47.50,$45.66,$45.85,$47.04,"$56,124,093","$765,861,464"
79,ZCash,ZEC,"Feb 02, 2023",$48.22,$45.78,$47.20,$45.86,"$71,511,291","$746,430,623"
80,ZCash,ZEC,"Feb 01, 2023",$47.57,$44.20,$45.19,$47.23,"$63,807,751","$768,309,066"
81,ZCash,ZEC,"Jan 31, 2023",$45.85,$44.24,$44.58,$45.20,"$62,718,921","$734,922,484"
82,ZCash,ZEC,"Jan 30, 2023",$47.35,$44.09,$47.23,$44.57,"$75,292,642","$724,498,722"
83,ZCash,ZEC,"Jan 29, 2023",$47.85,$45.12,$45.39,$47.22,"$73,226,155","$767,165,590"
84,ZCash,ZEC,"Jan 28, 2023",$46.91,$44.87,$46.49,$45.40,"$52,190,976","$737,269,322"
85,ZCash,ZEC,"Jan 27, 2023",$47.01,$45.50,$46.82,$46.48,"$54,369,831","$754,427,099"
86,ZCash,ZEC,"Jan 26, 2023",$46.90,$44.78,$45.51,$46.82,"$63,865,560","$759,685,369"
87,ZCash,ZEC,"Jan 25, 2023",$46.38,$43.81,$44.52,$45.53,"$63,466,469","$738,355,670"
88,ZCash,ZEC,"Jan 24, 2023",$48.17,$44.36,$47.02,$44.53,"$70,037,100","$721,793,692"
89,ZCash,ZEC,"Jan 23, 2023",$48.39,$46.66,$47.32,$47.02,"$61,060,878","$761,902,243"
90,ZCash,ZEC,"Jan 22, 2023",$48.93,$46.59,$48.08,$47.32,"$60,881,351","$766,497,378"
91,ZCash,ZEC,"Jan 21, 2023",$49.51,$48.01,$48.08,$48.09,"$73,986,637","$778,508,732"
92,ZCash,ZEC,"Jan 20, 2023",$48.51,$44.25,$44.47,$48.07,"$69,385,563","$777,870,754"
93,ZCash,ZEC,"Jan 19, 2023",$44.99,$42.81,$42.84,$44.48,"$63,288,085","$719,439,643"
94,ZCash,ZEC,"Jan 18, 2023",$45.48,$42.18,$44.61,$42.84,"$72,586,194","$692,579,537"
95,ZCash,ZEC,"Jan 17, 2023",$45.31,$42.15,$42.58,$44.61,"$77,762,021","$720,955,278"
96,ZCash,ZEC,"Jan 16, 2023",$45.91,$42.05,$44.75,$42.57,"$96,431,629","$687,698,679"
97,ZCash,ZEC,"Jan 15, 2023",$46.89,$44.47,$46.74,$44.74,"$75,491,690","$722,457,575"
98,ZCash,ZEC,"Jan 14, 2023",$48.48,$45.40,$45.41,$46.75,"$76,716,940","$754,487,821"
99,ZCash,ZEC,"Jan 13, 2023",$45.79,$44.02,$45.31,$45.41,"$52,171,924","$732,562,791"
